,Name,LDate,Span,Perigee,Apogee,Inc,cospar id,mass(kg),length(m),height(m),depth(m),Unused,Days,OwnerF,StateF,ManufacturerF,BusF,OpOrbitF,shapeF
15146,AOBA-VeloxIII,2016-12-09,0.2,398.0,407.0,51.64,1998-067KX,2.0,0.1,0.2,0.2,True,692.0,790,10,623,749,1,23
15148,TuPOD,2016-12-09,0.3,396.0,408.0,51.64,1998-067KY,2.0,0.1,0.3,0.3,True,,643,4,501,701,1,23
15150,OSNSAT,2016-12-09,0.1,394.0,408.0,51.64,1998-067KZ,0.75,0.09300000000000001,0.127,0.127,True,398.0,791,0,624,1031,1,2
15152,Hispasat 36W-1,2017-01-28,20.8,35781.0,35793.0,0.06,2017-006A,3220.0,2.5,3.1,20.8,False,,223,13,209,1032,16,119
15156,Telkom-3S,2017-02-14,37.0,35527.0,35778.0,0.03,2017-007A,3500.0,2.0,5.5,37.0,False,,216,16,379,789,18,119
15158,Flock 3p-51,2017-02-15,0.3,494.0,504.0,97.51,2017-008E,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15160,Flock 3p-37,2017-02-15,0.3,497.0,497.0,97.51,2017-008F,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15164,SkyBrasil-1,2017-02-14,39.0,35619.0,35752.0,0.09,2017-007B,6300.0,2.8,5.5,39.0,False,,792,0,276,1033,18,119
15170,Cartosat-2 Series Satellite,2017-02-15,8.0,491.0,508.0,97.51,2017-008A,714.0,2.0,3.5,8.0,False,,109,14,117,768,12,130
15172,INS-1A,2017-02-15,0.6,496.0,508.0,97.51,2017-008B,8.4,0.24600000000000002,0.364,0.67,False,,109,14,117,1034,12,119
15174,INS-1B,2017-02-15,0.6,496.0,508.0,97.51,2017-008G,9.7,0.24600000000000002,0.51,0.67,False,,109,14,117,1034,12,119
15176,Flock 3p-8,2017-02-15,0.3,496.0,506.0,97.51,2017-008D,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15178,Dragon CRS-10,2017-02-19,16.5,357.0,364.0,51.63,2017-009A,10000.0,3.7,5.3,16.5,True,4.447222222222222,524,0,412,830,1,237
15184,Progress MS-05,2017-02-22,7.9,173.0,188.0,51.6,2017-010A,6047.0,2.7,7.9,7.9,True,2.3541666666666665,98,30,236,439,1,234
15188,Flock 3p-20,2017-02-15,0.3,495.0,501.0,97.51,2017-008C,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15190,Flock 3p-19,2017-02-15,0.3,496.0,507.0,97.51,2017-008H,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15192,Flock 3p-24,2017-02-15,0.3,496.0,507.0,97.51,2017-008J,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15194,Flock 3p-18,2017-02-15,0.3,496.0,507.0,97.51,2017-008K,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15196,Flock 3p-22,2017-02-15,0.3,496.0,507.0,97.51,2017-008L,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15198,Flock 3p-21,2017-02-15,0.3,496.0,507.0,97.51,2017-008M,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15200,Flock 3p-28,2017-02-15,0.3,496.0,507.0,97.51,2017-008N,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15202,Flock 3p-26,2017-02-15,0.3,496.0,507.0,97.51,2017-008P,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15204,Flock 3p-17,2017-02-15,0.3,496.0,507.0,97.51,2017-008Q,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15206,Flock 3p-27,2017-02-15,0.3,496.0,507.0,97.51,2017-008R,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15208,Flock 3p-25,2017-02-15,0.3,496.0,507.0,97.51,2017-008S,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15210,Flock 3p-4,2017-02-15,0.3,496.0,506.0,97.51,2017-008T,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15212,Flock 3p-2,2017-02-15,0.3,496.0,507.0,97.51,2017-008U,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15214,Flock 3p-1,2017-02-15,0.3,496.0,507.0,97.51,2017-008V,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15216,Flock 3p-79,2017-02-15,0.3,496.0,505.0,97.51,2017-008AN,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15218,Flock 3p-78,2017-02-15,0.3,494.0,507.0,97.51,2017-008DD,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15219,Echostar 23,2017-03-16,31.0,3924.0,35884.0,13.69,2017-014A,5600.0,2.8,5.6,31.0,False,,596,0,185,697,17,119
15221,SES-10,2017-03-30,35.0,31185.0,35722.0,0.79,2017-017A,5300.0,3.3,7.0,35.0,False,,515,2,330,710,4,119
15224,Shi Jian 13,2017-04-12,30.0,35768.0,35805.0,0.07,2017-018A,4600.0,2.5,5.0,30.0,False,,420,11,265,821,16,119
15226,SS John Glenn,2017-04-18,10.5,395.0,404.0,51.64,2017-019A,7221.0,2.9,6.4,10.5,True,4.420138888888889,609,0,305,995,1,20
15227,Soyuz MS-04,2017-04-20,10.6,399.0,409.0,51.64,2017-020A,7218.0,2.7,7.9,10.6,True,0.5541666666666667,98,30,107,1019,1,70
15229,Tianzhou-1,2017-04-20,9.0,367.0,377.0,42.78,2017-021A,12910.0,3.35,9.0,9.0,True,2.1777777777777776,333,11,84,1035,1,117
15230,WGS SV-8,2016-12-07,40.9,28594.0,42941.0,0.17,2016-075A,5987.0,3.0,6.0,40.9,False,,218,0,286,641,11,119
15232,SBIRS GEO-4,2017-01-21,25.0,35779.0,35795.0,0.01,2017-004A,4500.0,2.5,6.0,25.0,False,,543,0,346,536,16,119
15234,Kirameki 2,2017-01-24,30.0,,,,2017-005A,5000.0,4.0,8.0,30.0,False,,793,10,625,747,17,119
15236,JSE reda-5 gouki,2017-03-17,16.5,485.0,499.0,97.23,2017-015A,1500.0,4.0,3.0,16.5,False,,403,10,123,693,12,119
15238,WGS SV-9,2017-03-19,40.9,433.0,44364.0,27.0,2017-016A,6000.0,3.0,6.0,40.9,False,,218,0,286,641,8,119
15240,USA 276,2017-05-01,7.1,389.0,409.0,50.0,2017-022A,2700.0,2.5,4.3,7.1,False,,297,0,14,783,1,130
15241,Koreasat 7,2017-05-04,30.0,35686.0,35791.0,0.05,2017-023A,3500.0,1.8,3.4,30.0,False,,794,31,379,789,18,119
15242,SGDC,2017-05-04,37.0,35557.0,35757.0,0.05,2017-023B,5735.0,2.0,7.1,37.0,False,,154,20,379,794,18,119
15245,South Asia Satellite,2017-05-05,9.5,35633.0,35851.0,0.06,2017-024A,2230.0,1.6,2.4,9.5,False,,109,14,117,482,18,119
15246,Inmarsat 5F4,2017-05-15,33.8,384.0,70118.0,24.52,2017-025A,6070.0,3.2,7.0,33.8,False,,433,2,286,641,11,119
15248,HAVELSAT,2017-04-18,0.2,397.0,408.0,51.63,1998-067LH,2.0,0.1,0.2,0.2,True,681.0,795,34,626,749,1,23
15249,SOMP 2,2017-04-18,0.2,398.0,406.0,51.64,1998-067LJ,2.0,0.1,0.2,0.2,True,,608,9,476,749,1,23
15250,Columbia Sat,2017-04-18,0.2,401.0,404.0,51.64,1998-067LK,2.0,0.1,0.2,0.2,True,,796,82,627,749,1,23
15251,SGSat,2017-04-18,0.1,401.0,404.0,51.64,1998-067LL,1.0,0.1,0.1,0.1,True,,626,0,628,699,1,23
15252,CXBN-2,2017-04-18,0.5,400.0,406.0,51.64,1998-067LM,2.6,0.1,0.2,0.5,True,,584,0,459,749,1,92
15253,IceCube,2017-04-18,0.5,401.0,404.0,51.64,1998-067LN,4.0,0.1,0.3,0.5,True,,2,0,22,701,1,119
15254,Phoenix,2017-04-18,0.2,402.0,403.0,51.63,1998-067LP,2.0,0.1,0.2,0.2,True,,797,44,543,749,1,23
15255,X-Cubesat,2017-04-18,0.2,401.0,403.0,51.64,1998-067LQ,2.0,0.1,0.2,0.2,True,,798,6,629,749,1,23
15256,qbee50-LTU-OC,2017-04-18,0.2,401.0,403.0,51.64,1998-067LR,2.0,0.1,0.2,0.2,True,679.0,799,22,630,749,1,23
15257,SES-15,2017-05-18,40.0,2215.0,31316.0,5.94,2017-026A,2302.0,2.0,6.0,40.0,False,,515,2,286,972,8,119
15258,Altair Pathfinder,2017-04-18,0.9,401.0,404.0,51.64,1998-067LS,4.0,0.1,0.6,0.9,True,964.0,800,0,631,1036,1,92
15259,SHARC,2017-04-18,0.5,400.0,406.0,51.64,1998-067LT,8.0,0.1,0.5,0.5,True,,313,0,632,1037,1,23
15260,ZA-AeroSat,2017-04-18,0.2,402.0,403.0,51.65,1998-067LU,2.0,0.1,0.2,0.2,True,775.0,801,45,633,749,1,23
15261,LINK,2017-04-18,0.2,401.0,404.0,51.63,1998-067LV,2.0,0.1,0.2,0.2,True,523.0,220,31,261,749,1,23
15262,CSUNSat 1,2017-04-18,0.2,402.0,404.0,51.65,1998-067LW,2.0,0.1,0.2,0.2,True,,802,0,634,749,1,23
15263,UPSat,2017-04-18,0.2,399.0,407.0,51.64,1998-067LX,2.0,0.1,0.2,0.2,True,,803,53,635,749,1,23
15265,SpaceCube,2017-04-18,0.2,400.0,404.0,51.64,1998-067LY,2.0,0.1,0.2,0.2,True,682.0,804,6,636,749,1,23
15266,Duchifat-2,2017-04-18,0.2,400.0,404.0,51.64,1998-067LZ,2.0,0.1,0.2,0.2,True,,688,24,542,749,1,23
15268,Challenger,2017-04-18,0.2,398.0,408.0,51.64,1998-067MA,2.0,0.1,0.2,0.2,True,481.0,805,0,251,749,1,23
15269,NJUST-1,2017-04-18,0.2,398.0,408.0,51.65,1998-067MB,2.0,0.1,0.2,0.2,True,823.0,739,11,577,749,1,23
15270,UNSW-EC0,2017-04-18,0.2,397.0,408.0,51.64,1998-067MC,2.0,0.1,0.2,0.2,True,,806,7,637,749,1,23
15271,DUTHSat,2017-04-18,0.2,399.0,407.0,51.64,1998-067MD,2.0,0.1,0.2,0.2,True,,807,53,638,749,1,23
15272,Zidingxiang-1,2017-04-18,0.2,402.0,403.0,51.64,1998-067ME,2.0,0.1,0.2,0.2,True,,736,11,482,749,1,23
15273,nSIGHT 1,2017-04-18,0.2,399.0,406.0,51.64,1998-067MF,2.5,0.1,0.2,0.2,True,737.0,808,45,639,749,1,23
15274,SNUSAT 1b,2017-04-18,0.2,397.0,408.0,51.64,1998-067MG,2.0,0.1,0.2,0.2,True,712.0,809,31,640,749,1,23
15275,Kosmos-2518,2017-05-25,10.0,1650.0,38511.0,63.81,2017-027A,2500.0,2.0,4.0,10.0,False,,378,30,587,993,26,119
15276,QBITO,2017-04-18,0.2,400.0,406.0,51.64,1998-067MH,2.0,0.1,0.2,0.2,True,669.0,810,13,641,749,1,23
15277,Aalto-2,2017-04-18,0.2,399.0,406.0,51.64,1998-067MJ,2.0,0.1,0.2,0.2,True,,811,83,642,749,1,23
15278,SUSat,2017-04-18,0.2,397.0,409.0,51.63,1998-067MK,2.0,0.1,0.2,0.2,True,702.0,812,7,643,749,1,23
15279,i-INSPIRE 2,2017-04-18,0.2,398.0,407.0,51.64,1998-067ML,2.0,0.1,0.2,0.2,True,585.0,813,7,644,749,1,23
15280,PolyITAN-2-SAU,2017-04-18,0.2,397.0,408.0,51.63,1998-067MM,2.0,0.1,0.2,0.2,True,658.0,695,36,548,749,1,23
15281,SNUSAT 1,2017-04-18,0.2,398.0,408.0,51.64,1998-067MN,2.0,0.1,0.2,0.2,True,695.0,809,31,640,749,1,23
15282,Ex-Alta 1,2017-04-18,0.2,397.0,409.0,51.64,1998-067MP,2.0,0.1,0.2,0.2,True,575.0,814,3,645,749,1,23
15283,Aoxiang yi hao,2017-04-18,0.2,397.0,409.0,51.64,1998-067MQ,2.0,0.1,0.2,0.2,True,799.0,768,11,607,749,1,23
15284,BeEagleSat,2017-04-18,0.2,395.0,411.0,51.63,1998-067MR,2.0,0.1,0.2,0.2,True,739.0,815,34,646,749,1,23
15285,Atlantis,2017-04-18,0.2,396.0,409.0,51.63,1998-067MS,2.0,0.1,0.2,0.2,True,,816,0,518,749,1,23
15286,Michibiki-2,2017-06-01,25.3,35912.0,35991.0,44.76,2017-028A,4020.0,2.9,6.2,25.3,False,,817,10,123,833,11,119
15290,ViaSat-2,2017-06-01,34.0,303.0,54424.0,5.96,2017-029A,6418.0,2.0,6.0,34.0,False,,553,0,286,641,8,119
15292,EUTELSAT 172B,2017-06-01,39.3,524.0,35910.0,5.89,2017-029B,3551.0,3.0,5.4,39.3,False,,375,6,276,1038,17,119
15298,Dragon CRS-11,2017-06-03,16.5,401.0,408.0,51.64,2017-030A,10000.0,3.7,5.3,16.5,True,2.577777777777778,524,0,412,830,1,237
15304,GSAT-19E,2017-06-05,20.0,162.0,34513.0,21.73,2017-031A,3136.0,1.8,3.1,20.0,False,,109,14,139,1039,17,119
15308,Echostar 21,2017-06-08,32.4,24526.0,35804.0,9.89,2017-032A,6871.0,2.8,7.6,32.4,False,,818,84,185,911,4,119
15314,Lemur-2-JennyBarna,2017-04-18,0.3,476.0,490.0,51.64,2017-019B,4.0,0.1,0.3,0.3,False,,741,0,580,701,1,23
15316,Lemur-2-Angela,2017-04-18,0.3,476.0,490.0,51.64,2017-019C,4.0,0.1,0.3,0.3,False,,741,0,580,701,1,23
15318,Lemur-2-Spirovision,2017-04-18,0.3,477.0,489.0,51.64,2017-019D,4.0,0.1,0.3,0.3,False,,741,0,580,701,1,23
15320,Lemur-2-RobMoore,2017-04-18,0.3,476.0,491.0,51.64,2017-019E,4.0,0.1,0.3,0.3,False,,741,0,580,701,1,23
15322,Progress MS-06,2017-06-14,7.9,401.0,407.0,51.64,2017-033A,7290.0,2.7,7.9,7.9,True,2.484027777777778,98,30,236,439,1,234
15326,Huiyan,2017-06-15,10.0,536.0,545.0,43.02,2017-034A,3000.0,2.0,2.0,10.0,False,,360,11,84,605,1,119
15328,OVS-1B,2017-06-15,1.0,533.0,545.0,43.02,2017-034B,50.0,0.5,0.5,1.0,False,,819,11,647,1040,1,23
15330,Milanesat,2017-06-15,0.7,535.0,545.0,43.02,2017-034C,37.0,0.4,0.75,0.75,False,,761,77,603,1006,1,23
15332,OVS-1A,2017-06-15,1.0,533.0,545.0,43.02,2017-034D,50.0,0.5,0.5,1.0,False,,819,11,647,1040,1,23
15336,Zhongxing 9A,2017-06-18,30.0,193.0,16357.0,25.68,2017-035A,5250.0,2.5,5.0,30.0,False,,335,11,265,904,8,119
15342,Kosmos-2519,2017-06-23,3.0,653.0,669.0,98.05,2017-037A,1000.0,1.3,3.0,3.0,False,,539,30,54,1041,10,20
15348,NIUSAT-Keralshree,2017-06-23,0.3,496.0,518.0,97.45,2017-036B,15.0,0.348,0.37,0.37,False,,820,14,648,1042,12,23
15350,Cartosat-2 Series Satellite,2017-06-23,8.0,334.0,347.0,96.92,2017-036C,712.0,2.0,3.5,8.0,False,,109,14,117,768,12,130
15352,BulgariaSat-1,2017-06-23,31.0,196.0,65360.0,23.95,2017-038A,4000.0,2.8,5.6,31.0,False,,821,85,185,697,8,119
15356,LituanicaSAT 2,2017-06-23,0.5,496.0,512.0,97.45,2017-036D,4.0,0.1,0.3,0.5,False,,822,75,649,701,12,92
15358,CE-SAT-I,2017-06-23,0.9,497.0,517.0,97.45,2017-036E,65.0,0.5,0.9,0.9,False,,823,10,650,1043,12,23
15360,InflateSail,2017-06-23,3.0,496.0,512.0,97.45,2017-036F,4.0,0.1,0.3,3.0,True,72.06041666666667,730,2,572,701,12,139
15362,Venta-1,2017-06-23,0.7,496.0,508.0,97.45,2017-036AC,7.5,0.13,0.7,0.7,True,,824,86,651,1044,12,119
15364,PACSCISAT,2017-06-23,0.3,497.0,516.0,97.45,2017-036AG,4.0,0.1,0.3,0.3,False,,825,0,585,701,12,23
15366,CICERO-6,2017-06-23,0.3,496.0,516.0,97.45,2017-036AE,8.0,0.2,0.3,0.3,False,,826,0,585,950,12,23
15368,NUDTSat,2017-06-23,0.2,497.0,515.0,97.45,2017-036Y,2.0,0.1,0.2,0.2,False,,570,11,451,749,12,23
15370,COMPASS-2,2017-06-23,0.2,496.0,514.0,97.45,2017-036N,2.0,0.1,0.2,0.2,False,,827,9,652,749,12,23
15372,URSA MAIOR,2017-06-23,0.5,496.0,512.0,97.45,2017-036M,4.0,0.1,0.3,0.5,False,,828,4,549,701,12,92
15374,skCUBE,2017-06-23,0.1,496.0,512.0,97.45,2017-036AA,1.0,0.1,0.1,0.1,True,,829,87,653,699,12,23
15376,Max Valier,2017-06-23,0.4,496.0,517.0,97.45,2017-036P,10.0,0.1,0.4,0.4,False,,830,4,654,1045,12,23
15378,Lemur-2-McPeake,2017-06-23,0.3,496.0,510.0,97.45,2017-036T,4.0,0.1,0.3,0.3,False,,741,0,580,701,12,23
15380,Flock 2k-23,2017-07-14,0.3,460.0,475.0,97.0,2017-042AL,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15381,Flock 2k-21,2017-07-14,0.3,460.0,475.0,97.0,2017-042AM,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15382,Flock 2k-22,2017-07-14,0.3,460.0,475.0,97.0,2017-042AN,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15383,Flock 2k-7,2017-07-14,0.3,461.0,475.0,97.0,2017-042AP,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15384,Flock 2k-8,2017-07-14,0.3,461.0,475.0,97.0,2017-042AQ,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15385,Flock 2k-5,2017-07-14,0.3,461.0,475.0,97.0,2017-042AR,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15386,Flock 2k-40,2017-07-14,0.3,458.0,474.0,97.0,2017-042AS,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15387,Flock 2k-39,2017-07-14,0.3,458.0,475.0,97.0,2017-042AT,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15388,Flock 2k-37,2017-07-14,0.3,458.0,475.0,97.0,2017-042AU,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15389,Flock 2k-38,2017-07-14,0.3,458.0,475.0,97.0,2017-042AV,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15390,Flock 2k-31,2017-07-14,0.3,459.0,475.0,97.0,2017-042AW,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15391,Flock 2k-32,2017-07-14,0.3,458.0,475.0,97.0,2017-042AX,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15392,Flock 2k-29,2017-07-14,0.3,459.0,475.0,97.0,2017-042AY,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15393,Flock 2k-30,2017-07-14,0.3,459.0,475.0,97.0,2017-042AZ,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15394,Flock 2k-44,2017-07-14,0.3,457.0,474.0,97.0,2017-042BA,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15395,Flock 2k-43,2017-07-14,0.3,458.0,474.0,97.0,2017-042BB,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15396,Flock 2k-41,2017-07-14,0.3,458.0,474.0,97.0,2017-042BC,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15397,Flock 2k-36,2017-07-14,0.3,458.0,475.0,97.0,2017-042BD,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15398,Flock 2k-35,2017-07-14,0.3,458.0,475.0,97.0,2017-042BE,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15399,Flock 2k-34,2017-07-14,0.3,458.0,475.0,97.0,2017-042BF,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15400,Flock 2k-33,2017-07-14,0.3,458.0,475.0,97.0,2017-042BG,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15401,Flock 2k-28,2017-07-14,0.3,459.0,475.0,97.0,2017-042BH,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15402,Flock 2k-27,2017-07-14,0.3,459.0,475.0,97.0,2017-042BK,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15403,Flock 2k-26,2017-07-14,0.3,459.0,475.0,97.0,2017-042BL,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15404,Flock 2k-25,2017-07-14,0.3,459.0,475.0,97.0,2017-042BM,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15405,Flock 2k-20,2017-07-14,0.3,460.0,475.0,97.0,2017-042BN,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15406,Flock 2k-19,2017-07-14,0.3,460.0,475.0,97.0,2017-042BP,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15407,Flock 2k-18,2017-07-14,0.3,461.0,475.0,97.0,2017-042BQ,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15408,Flock 2k-17,2017-07-14,0.3,460.0,475.0,97.0,2017-042BR,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15409,Flock 2k-16,2017-07-14,0.3,461.0,475.0,97.0,2017-042BS,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15410,Flock 2k-15,2017-07-14,0.3,461.0,475.0,97.0,2017-042BT,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15411,Flock 2k-13,2017-07-14,0.3,461.0,475.0,97.0,2017-042BU,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15412,Flock 2k-14,2017-07-14,0.3,461.0,475.0,97.0,2017-042BV,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15413,Flock 2k-12,2017-07-14,0.3,461.0,475.0,97.0,2017-042BW,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15414,Flock 2k-11,2017-07-14,0.3,461.0,475.0,97.0,2017-042BX,4.7,0.1,0.3,0.3,True,,648,0,506,701,12,119
15415,Flock 2k-10,2017-07-14,0.3,461.0,475.0,97.0,2017-042BY,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15416,Flock 2k-9,2017-07-14,0.3,461.0,475.0,97.0,2017-042BZ,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15417,Flock 2k-6,2017-07-14,0.3,461.0,475.0,97.0,2017-042CA,4.7,0.1,0.3,0.3,False,,648,0,506,701,12,119
15418,Soyuz MS-05,2017-07-28,10.6,400.0,408.0,51.64,2017-043A,7220.0,2.7,7.9,10.6,True,0.9125,98,30,107,1019,1,70
15421,Venmus,2017-08-02,4.5,719.0,724.0,98.35,2017-044B,264.0,1.2,1.7,4.5,False,,831,24,168,1046,10,119
15422,Optsat 3000,2017-08-02,4.5,452.0,454.0,97.2,2017-044A,368.0,1.2,3.4,4.5,False,,832,4,168,419,12,119
15423,Silu-1,2017-04-20,0.3,386.0,395.0,42.79,2017-021F,4.0,0.1,0.3,0.3,True,721.0,833,11,655,701,1,23
15424,Dragon CRS-12,2017-08-14,16.5,400.0,408.0,51.64,2017-045A,10600.0,3.7,5.3,16.5,True,2.438888888888889,524,0,412,830,1,237
15428,Tanyusha YuZGU No. 2,2017-06-14,0.3,398.0,409.0,51.64,1998-067NB,5.0,0.1,0.3,0.3,True,,834,30,656,701,1,23
15429,TNS-0-2 Nanosputnik,2017-06-14,0.3,398.0,407.0,51.64,1998-067ND,5.0,0.1,0.3,0.3,True,,98,30,657,53,1,13
15430,TS530-Zerkalo,2017-06-14,0.5,398.0,407.0,51.64,1998-067NC,13.0,0.53,0.53,0.53,True,,98,30,107,883,1,4
15431,TDRS 13,2017-08-18,21.1,35768.0,35804.0,6.99,2017-047A,3454.0,3.0,8.1,21.1,False,,2,0,286,897,22,119
15432,Kosmos-2520,2017-08-16,27.0,35788.0,35864.0,0.03,2017-046A,2500.0,2.0,6.0,27.0,False,,835,30,368,857,18,20
15434,Tomsk-TPU-120,2016-03-31,0.3,397.0,408.0,51.63,1998-067MZ,4.0,0.1,0.3,0.3,True,,836,30,658,701,1,23
15435,Tanyusha YuZGU No. 1,2017-06-14,0.3,397.0,407.0,51.64,1998-067NA,5.0,0.1,0.3,0.3,True,,834,30,656,701,1,23
15437,Michibiki-3,2017-08-19,19.0,35767.0,35808.0,0.08,2017-048A,4700.0,3.2,5.4,19.0,False,,817,10,123,833,16,119
15438,FORMOSAT 5,2017-08-24,4.5,710.0,729.0,98.3,2017-049A,525.0,1.2,3.0,4.5,False,,447,44,659,53,10,59
15439,Kosmos-2521,2017-06-23,1.0,650.0,676.0,97.92,2017-037D,50.0,0.5,0.5,0.5,True,811.0,681,30,536,943,10,23
15440,Prometheus 2.2,2017-08-26,0.1,388.0,602.0,24.52,2017-050C,2.0,0.1,0.1,0.1,True,21.0,783,0,240,838,20,23
15441,Prometheus 2.4,2017-08-26,0.1,384.0,603.0,24.53,2017-050D,2.0,0.1,0.1,0.1,True,37.0,783,0,240,838,20,23
15442,DHFR,2017-08-26,0.3,309.0,605.0,24.52,2017-050B,5.0,0.1,0.3,0.3,False,,197,0,433,701,20,119
15444,ORS-5,2017-08-26,0.6,599.0,604.0,0.02,2017-050A,110.0,0.6,1.5,0.6,False,,837,0,27,1047,24,119
15448,Soyuz MS-06,2017-09-12,10.6,402.0,407.0,51.64,2017-054A,7218.0,2.7,7.9,10.6,True,1.1215277777777777,98,30,107,1019,1,70
15450,Amazonas 5,2017-09-11,26.0,35785.0,35789.0,0.04,2017-053A,5900.0,2.9,8.1,26.0,False,,428,20,185,697,16,119
15452,Kosmos-2522,2017-09-22,7.8,19103.0,19156.0,64.8,2017-055A,1450.0,1.5,4.0,7.8,False,,379,30,368,353,4,145
15455,Yaogan 30 hao 01 zu 01 xing,2017-09-29,1.0,592.0,600.0,35.0,2017-058A,500.0,0.5,0.5,1.0,False,,335,11,327,53,1,119
15456,Yaogan 30 hao 01 zu 02 xing,2017-09-29,1.0,592.0,600.0,35.0,2017-058B,500.0,0.5,0.5,1.0,False,,335,11,327,53,1,119
15457,Yaogan 30 hao 01 zu 03 xing,2017-09-29,1.0,592.0,600.0,35.0,2017-058C,500.0,0.5,0.5,1.0,False,,335,11,327,53,1,119
15459,Asiasat 9,2017-09-28,27.0,35783.0,35791.0,0.02,2017-057A,6141.0,3.0,7.0,27.0,False,,196,40,185,911,16,119
15463,BSAT-4a,2017-09-29,24.7,35719.0,35725.0,0.02,2017-059B,3520.0,2.7,5.1,24.7,False,,281,10,185,911,18,119
15464,Antonio Jose de Sucre,2017-10-09,7.9,629.0,654.0,98.02,2017-060A,942.0,1.8,2.1,7.9,False,,484,59,260,719,10,119
15465,Iridium Next SV133,2017-10-09,9.4,622.0,635.0,86.66,2017-061A,860.0,1.5,3.1,9.4,False,,283,0,660,1048,9,227
15466,Iridium Next SV127,2017-10-09,9.4,611.0,626.0,86.68,2017-061B,860.0,1.5,3.1,9.4,False,,283,0,660,1048,9,227
15467,Iridium Next SV122,2017-10-09,9.4,611.0,626.0,86.68,2017-061C,860.0,1.5,3.1,9.4,False,,283,0,660,1048,9,227
15468,Iridium Next SV129,2017-10-09,9.4,611.0,626.0,86.68,2017-061D,860.0,1.5,3.1,9.4,False,,283,0,660,1048,9,227
15469,Iridium Next SV119,2017-10-09,9.4,610.0,626.0,86.68,2017-061E,860.0,1.5,3.1,9.4,False,,283,0,660,1048,9,227
15470,Iridium Next SV107,2017-10-09,9.4,610.0,626.0,86.68,2017-061F,860.0,1.5,3.1,9.4,False,,283,0,660,1048,9,227
15471,Iridium Next SV132,2017-10-09,9.4,609.0,626.0,86.68,2017-061G,860.0,1.5,3.1,9.4,False,,283,0,660,1048,9,227
