,Name,LDate,Span,Perigee,Apogee,Inc,cospar id,mass(kg),length(m),height(m),depth(m),Unused,Days,OwnerF,StateF,ManufacturerF,BusF,OpOrbitF,shapeF
127,Starad,1962-10-26,2.0,199.0,5494.0,71.41,1962-058A,1090.19,1.5,8.99,8.99,True,,11,0,3,32,4,3
128,Explorer 15,1962-10-27,1.3,312.0,17619.0,17.97,1962-059A,44.8,0.74,1.3,1.3,True,5559.0,2,0,9,11,8,5
129,ANNA 1B,1962-10-31,0.9,1081.0,1179.0,50.15,1962-060A,159.56,1.22,0.91,1.22,True,,5,0,6,33,0,4
132,AMS Mars,1962-11-01,4.0,200.0,inf,65.0,1962-061C,885.53,1.1,3.3,3.3,True,,1,1,1,34,3,2
133,FTV 1136,1962-11-05,2.3,194.0,391.0,75.02,1962-063A,1139.74,1.5,7.99,7.99,True,28.0,11,0,3,19,1,2
135,FTV 1135,1962-11-24,2.3,206.0,317.0,65.13,1962-065A,1139.74,1.5,7.99,7.99,True,19.0,11,0,3,19,1,2
136,FTV 1155,1962-12-04,2.3,123.0,262.0,65.19,1962-066A,1139.74,1.5,7.99,7.99,True,4.0,11,0,3,19,1,2
137,NRL PL120,1962-12-13,0.6,233.0,2747.0,70.34,1962-067A,22.79,0.6,0.6,0.6,True,,23,0,19,35,0,4
138,Relay 1,1962-12-13,1.3,1323.0,7436.0,47.5,1962-068A,77.3,0.74,0.81,0.81,True,,2,0,8,36,4,14
139,Injun 3,1962-12-13,0.6,231.0,2774.0,70.34,1962-067B,51.54,0.61,0.61,0.61,True,,24,0,20,37,0,4
140,FTV 1156,1962-12-14,2.3,195.0,362.0,70.98,1962-069A,1139.74,1.5,7.99,7.99,True,25.0,11,0,3,19,1,2
141,Explorer 16,1962-12-16,2.2,759.0,1170.0,51.99,1962-070A,99.9,0.61,1.93,1.93,True,,9,0,10,13,0,2
142,Calsphere 1,1962-12-13,0.1,231.0,2748.0,70.34,1962-067C,0.2,0.15,0.15,0.15,True,200.0,24,0,19,38,0,4
143,SURCAL 2,1962-12-13,0.2,225.0,2734.0,70.34,1962-067D,2.97,0.2,0.2,0.2,True,,24,0,19,39,0,8
144,Transit VA-1,1962-12-19,5.5,700.0,723.0,90.63,1962-071A,60.46,0.46,0.25,0.46,True,8681.0,5,0,6,40,9,5
