,LDate,Span,Perigee,Inc,mass(kg),length(m),height(m),depth(m),Days,OwnerF,StateF,ManufacturerF,BusF,OpOrbitF,shapeF,DateN
12193,2005-09-23,2.0,296.0,96.34,417.0,2.0,2.0,2.0,278.0,438,0,339,735,12,131,17149.0
12198,2005-10-01,10.6,347.0,51.64,7236.0,2.7,7.9,7.9,2.2270833333333333,98,30,107,681,1,201,17157.0
12200,2005-10-12,10.0,330.0,42.41,5500.0,3.2,10.0,10.0,4.0,333,11,262,607,1,179,17168.0
12204,2005-10-12,4.3,333.0,42.43,1700.0,2.8,2.3,4.3,902.0,333,11,350,608,1,20,17168.0
12205,2005-10-13,12.6,35778.0,0.06,2033.0,2.3,3.9,30.0,263.0,172,0,305,675,16,119,17169.0
12221,2005-11-09,8.0,334.0,51.67,1240.0,1.8,1.5,8.0,0.6104166666666667,110,15,330,696,3,119,17196.0
12226,2005-12-21,7.9,342.0,51.65,7260.0,2.7,7.9,7.9,2.823611111111111,98,30,236,439,1,93,17238.0
12244,2005-12-29,38.0,35782.0,0.0,5035.0,2.5,5.5,38.0,399.0,405,0,351,724,16,119,17246.0
12247,1999-02-07,0.8,224.0,28.49,46.0,0.8,0.5,0.8,1.1777777777777778,8,0,356,743,3,209,14729.0
12248,2006-01-19,3.0,339.0,29.58,478.0,2.7,0.7,3.0,0.9527777777777777,391,0,6,744,3,191,17267.0
12253,2001-09-14,2.0,339.0,51.65,140.0,0.5,2.0,2.0,123.12777777777778,98,30,358,746,1,47,15679.0
12255,2006-02-15,26.0,35785.0,0.07,4333.0,3.6,6.0,26.0,685.0,268,0,242,572,16,119,17294.0
12260,2006-02-21,0.2,298.0,98.19,4.0,0.1,0.2,0.2,1342.0,409,10,318,749,12,23,17300.0
12262,2006-02-28,32.0,505.0,51.53,3341.0,2.9,2.5,32.0,24.088194444444444,445,9,330,539,8,168,17307.0
12265,2006-03-11,36.9,35777.0,0.01,4100.0,1.8,3.7,36.9,1086.0,375,6,351,648,16,119,17318.0
12272,2006-03-30,10.6,267.0,51.64,7236.0,2.7,7.9,7.9,2.1798611111111112,98,30,107,681,1,201,17337.0
12288,2006-04-24,7.9,246.0,51.64,7260.0,2.7,7.9,7.9,2.7368055555555557,98,30,236,439,1,211,17362.0
12301,2006-05-24,10.0,35784.0,0.41,3209.0,2.9,8.4,10.0,4786.0,69,0,286,486,16,163,17392.0
12303,2006-05-26,1.2,402.0,78.89,80.0,0.6,0.8,1.2,2042.0,381,30,299,666,1,212,17394.0
12307,2006-05-27,31.4,35775.0,0.01,5456.0,2.8,7.4,31.4,2916.0,314,21,185,752,16,119,17395.0
12318,2006-06-18,31.0,35777.0,0.03,4640.0,2.8,5.6,31.0,15.0,172,0,185,697,16,119,17417.0
12322,2006-06-24,7.9,334.0,51.63,7290.0,2.7,7.9,7.9,2.683333333333333,98,30,236,439,1,93,17423.0
12326,2006-07-04,37.3,334.0,51.63,115861.0,23.8,37.3,37.3,2.61875,93,0,231,335,1,141,17433.0
12332,2006-07-21,5.0,584.0,62.9,1900.0,2.0,4.0,5.0,4872.982638888889,59,30,103,227,26,20,17450.0
12338,2006-08-04,39.0,35762.0,0.07,4875.0,2.5,5.8,39.0,2036.0,375,6,276,710,16,119,17464.0
12346,2006-09-09,2.2,177.0,62.99,2350.0,2.2,1.6,2.2,53.0,239,11,84,408,1,26,17500.0
12351,2006-09-09,37.3,228.0,51.63,125107.0,23.8,37.3,37.3,2.45,93,0,231,335,1,136,17500.0
12356,2006-09-18,10.6,334.0,51.63,7236.0,2.7,7.9,7.9,2.222916666666667,98,30,107,681,1,201,17509.0
12358,2006-09-14,6.3,209.0,64.9,7000.0,2.7,6.3,6.3,64.0,378,30,225,435,1,116,17505.0
12362,2006-09-22,0.2,276.0,98.32,5.0,0.1,0.2,0.2,3.0,435,10,347,759,12,23,17513.0
12363,2006-09-22,0.2,279.0,98.33,4.0,0.1,0.2,0.2,635.0,452,10,362,699,12,23,17513.0
12369,2006-10-13,6.5,267.0,7.03,149.0,0.7,1.8,6.5,1448.0,436,10,363,647,17,191,17534.0
12374,2006-10-23,7.9,329.0,51.63,7290.0,2.7,7.9,7.9,3.6034722222222224,98,30,236,439,1,147,17544.0
12380,2006-10-26,8.6,192937.0,33.1,620.0,2.6,1.5,8.6,0.6729166666666667,2,0,6,762,7,213,17547.0
12381,2006-10-26,8.6,115890.0,28.16,620.0,2.6,1.5,8.6,0.6729166666666667,2,0,6,762,7,213,17547.0
12408,2006-12-10,37.3,326.0,51.63,132931.0,23.8,37.3,37.3,1.9243055555555555,93,0,231,335,1,141,17592.0
12413,2006-12-16,5.5,413.0,40.01,370.0,1.0,1.7,5.5,1512.0,313,0,364,764,1,20,17598.0
12415,2006-12-16,0.3,413.0,40.03,3.0,0.1,0.3,0.3,1327.0,44,0,365,701,1,23,17598.0
12420,2006-12-10,15.0,311.0,51.64,2.0,0.1,0.1,15.0,88.0,218,0,271,766,1,182,17592.0
12421,2006-12-10,1.2,313.0,51.65,4.0,0.1,0.1,1.2,171.0,458,0,295,53,1,47,17592.0
12422,2006-12-10,1.3,313.0,51.64,3.0,0.1,0.1,1.3,147.0,458,0,295,53,1,47,17592.0
12424,2006-12-10,0.5,312.0,51.64,75.0,0.4,0.4,0.4,380.0,131,0,367,53,1,4,17592.0
12427,2006-12-10,0.4,312.0,51.64,50.0,0.5,0.5,0.5,532.0,131,0,19,53,1,4,17592.0
12443,2007-01-10,2.0,622.0,97.95,550.0,1.6,2.0,2.0,12.177777777777777,109,14,370,769,10,0,17623.0
12446,2007-01-18,7.9,186.0,51.63,7290.0,2.7,7.9,7.9,2.123611111111111,98,30,236,439,1,147,17631.0
12453,2007-02-17,49.6,2573.0,10.72,125.0,0.8,0.5,49.6,230.36527777777778,2,0,288,771,14,215,17661.0
12454,2007-02-17,49.6,3174.0,8.75,125.0,0.8,0.5,49.6,884.0,2,0,288,771,5,215,17661.0
12456,2007-02-24,16.5,485.0,97.34,1500.0,4.0,3.0,16.5,2605.775,403,10,123,693,12,119,17668.0
12476,2007-04-07,10.6,323.0,51.63,7270.0,2.7,7.9,10.6,2.798611111111111,98,30,107,681,1,70,17710.0
12503,2007-04-24,2.7,254.0,48.22,494.0,1.3,2.7,2.7,3116.425,467,0,339,776,1,116,17727.0
12511,2007-05-12,7.9,241.0,51.64,7290.0,2.7,7.9,7.9,3.2152777777777777,98,30,236,439,1,90,17745.0
12521,2007-05-31,18.1,35779.0,0.27,2320.0,1.7,5.7,18.1,671.0,453,11,84,508,16,168,17764.0
12527,2007-06-08,37.3,329.0,51.63,122315.0,23.8,37.3,37.3,2.816666666666667,93,0,231,335,1,136,17772.0
12554,2007-09-14,30.0,282.0,29.9,2885.0,2.1,4.7,30.0,0.8118055555555556,436,10,349,781,14,218,17870.0
12555,2007-09-14,1.5,282.0,29.9,2930.0,1.0,0.7,1.5,0.8118055555555556,436,10,163,782,14,196,17870.0
12556,2007-09-14,1.5,282.0,29.9,2938.0,1.0,0.7,1.5,0.8118055555555556,436,10,163,782,14,196,17870.0
12558,2007-09-14,6.5,259.0,62.94,6425.0,2.4,6.5,6.5,12.331944444444444,290,30,230,387,1,18,17870.0
12565,2007-09-27,19.7,209.0,28.9,1218.0,1.3,1.8,19.7,0.8854166666666666,8,0,305,784,3,119,17883.0
12572,2007-10-10,10.6,253.0,51.64,7276.0,2.7,7.9,10.6,2.6180555555555554,98,30,107,681,1,70,17896.0
12584,2007-10-23,5.0,520.0,62.87,1900.0,2.0,4.0,5.0,4092.3319444444446,59,30,103,227,26,20,17909.0
12588,2007-10-23,37.3,340.0,51.64,120413.0,23.8,37.3,37.3,2.5277777777777777,93,0,231,335,1,136,17909.0
12641,2007-12-23,7.9,246.0,51.64,7270.0,2.7,7.9,7.9,3.3430555555555554,98,30,236,439,1,90,17970.0
12685,2008-02-05,7.9,331.0,51.64,7270.0,2.7,7.9,7.9,2.6041666666666665,98,30,236,439,1,90,18014.0
12693,2008-02-07,37.3,331.0,51.64,120413.0,23.8,37.3,37.3,2.720138888888889,93,0,231,335,1,136,18016.0
12731,2008-05-31,37.3,336.0,51.64,115521.0,23.8,37.3,37.3,2.752083333333333,93,0,231,335,1,136,18130.0
12735,2008-06-09,30.0,35775.0,0.05,4466.0,2.5,5.0,30.0,305.0,470,11,379,757,16,119,18139.0
12784,2008-09-10,7.9,308.0,51.64,7200.0,2.7,7.9,7.9,7.779861111111111,98,30,236,439,1,90,18232.0
12803,2008-09-25,10.0,329.0,42.4,5500.0,3.2,10.0,10.0,3.4006944444444445,333,11,262,607,1,179,18247.0
12809,2008-09-25,0.4,328.0,42.4,40.0,0.4,0.4,0.4,399.0,482,11,327,53,1,23,18247.0
12811,2008-09-25,4.3,328.0,42.4,1700.0,2.8,2.3,4.3,466.0,333,11,84,608,1,20,18247.0
12815,2008-10-12,10.6,350.0,51.64,7270.0,2.7,7.9,10.6,2.3513888888888888,98,30,107,681,1,70,18264.0
12817,2008-10-19,1.0,12260.0,21.38,107.0,1.0,0.6,1.0,1.4465277777777779,2,0,305,520,14,2,18271.0
12821,2008-10-22,2.0,373.0,17.97,1304.0,1.5,1.5,2.0,4.9847222222222225,109,14,117,413,14,131,18274.0
12839,2008-11-15,37.3,349.0,51.64,116554.0,23.8,37.3,37.3,1.917361111111111,93,0,231,335,1,136,18298.0
12841,2008-11-26,7.9,254.0,51.64,7288.0,2.7,7.9,7.9,4.519444444444445,98,30,236,439,1,90,18309.0
12843,2008-11-15,0.2,342.0,51.64,7.0,0.1,0.2,0.2,459.0,313,0,271,620,1,23,18298.0
12845,2008-12-02,5.0,522.0,62.86,1900.0,2.0,4.0,5.0,3077.0,59,30,103,227,26,20,18315.0
12852,2008-12-15,8.0,480.0,97.4,2700.0,2.0,2.0,8.0,2087.8541666666665,335,11,84,795,12,119,18328.0
12854,2008-12-20,39.4,35763.0,0.06,4880.0,2.7,6.3,39.4,1167.0,375,6,276,710,16,119,18333.0
12855,2008-12-20,15.7,35769.0,0.03,3460.0,1.8,5.0,15.7,1167.0,375,6,386,796,16,119,18333.0
12881,2009-02-02,0.4,245.0,55.51,25.0,0.4,0.4,0.4,82.0,492,55,392,805,1,23,18377.0
12886,2009-02-10,7.9,243.0,51.64,7088.0,2.7,7.9,7.9,3.3048611111111112,98,30,236,439,1,90,18385.0
12912,2009-03-15,37.3,347.0,51.64,116666.0,23.8,37.3,37.3,2.9298611111111112,93,0,231,335,1,136,18418.0
12913,2009-03-17,5.0,272.0,96.7,1200.0,1.0,5.0,5.0,1700.0111111111112,110,15,381,806,12,20,18420.0
12925,2009-03-26,10.6,224.0,51.64,7184.0,2.7,7.9,10.6,2.5444444444444443,98,30,107,681,1,70,18429.0
12929,2009-04-03,34.0,35751.0,0.03,5922.0,2.6,7.5,34.0,1063.0,375,6,379,794,16,168,18437.0
12944,2009-05-07,7.9,291.0,51.63,7119.0,2.7,7.9,7.9,5.808333333333334,98,30,236,439,1,90,18471.0
12946,2009-05-11,37.3,562.0,28.47,116115.0,23.8,37.3,37.3,13.652777777777779,93,0,231,335,1,136,18475.0
12947,2009-05-14,9.0,273.0,5.93,3402.0,4.5,7.5,9.0,1.132638888888889,110,15,379,808,7,116,18478.0
12948,2009-05-14,4.5,370.0,3.81,1921.0,4.5,4.0,4.5,1.132638888888889,110,15,379,809,7,2,18478.0
12951,2009-05-16,26.0,35784.0,0.04,3905.0,3.6,4.1,26.0,199.0,495,49,286,565,16,119,18480.0
12954,2009-05-19,10.0,432.0,40.46,400.0,1.0,3.0,10.0,1077.0,313,0,394,643,1,121,18483.0
12955,2009-05-19,0.3,428.0,40.47,4.0,0.1,0.3,0.3,1183.0,44,0,395,701,1,23,18483.0
12956,2009-05-19,0.2,426.0,40.46,1.0,0.1,0.1,0.2,870.0,464,0,376,699,1,47,18483.0
12957,2009-05-19,0.1,426.0,40.46,1.0,0.1,0.1,0.1,838.0,496,0,396,699,1,23,18483.0
12958,2009-05-19,0.5,427.0,40.48,1.0,0.1,0.1,0.2,597.0,466,0,271,699,1,47,18483.0
12960,2009-05-21,10.0,303.0,62.85,2000.0,2.0,4.0,10.0,4355.2,497,30,368,767,17,119,18485.0
12962,2009-05-27,10.6,151.0,51.69,7194.0,2.7,7.9,10.6,2.5236111111111112,98,30,107,681,1,70,18491.0
12964,2009-06-18,6.0,194.0,28.2,1916.0,2.6,3.9,6.0,1.5652777777777778,2,0,22,810,7,163,18513.0
12965,2009-06-18,3.3,133.0,28.0,891.0,2.6,2.0,3.3,1.5652777777777778,44,0,397,811,7,58,18513.0
12974,2009-07-01,32.4,35707.0,5.94,6910.0,2.8,7.6,32.4,730.0,499,0,185,812,22,168,18526.0
12982,2009-07-15,37.3,344.0,51.64,115766.0,23.8,37.3,37.3,2.740972222222222,93,0,231,335,1,136,18540.0
12990,2009-07-24,7.9,254.0,51.64,7200.0,2.7,7.9,7.9,5.466666666666667,98,30,236,439,1,90,18549.0
12992,2009-07-29,1.0,634.0,98.13,90.0,1.0,1.0,1.0,2208.0,502,13,172,683,10,13,18554.0
13000,2009-07-15,0.1,325.0,51.64,3.0,0.1,0.1,0.1,245.0,505,0,398,699,1,23,18540.0
13003,2009-07-15,0.5,328.0,51.64,25.0,0.5,0.5,0.5,257.0,131,0,367,53,1,4,18540.0
13004,2009-07-15,0.5,328.0,51.64,50.0,0.5,0.5,0.5,399.0,131,0,367,53,1,4,18540.0
13016,2009-08-29,37.3,219.0,51.66,116520.0,23.8,37.3,37.3,2.0368055555555555,93,0,231,335,1,136,18585.0
13021,2009-09-10,9.8,210.0,51.66,16500.0,4.4,9.8,9.8,7.824305555555555,436,10,399,815,1,2,18597.0
13041,2009-09-30,10.6,340.0,51.64,7197.0,2.7,7.9,10.6,2.357638888888889,98,30,107,681,1,70,18617.0
13049,2009-10-15,7.9,225.0,51.64,7197.0,2.7,7.9,7.9,3.0694444444444446,98,30,236,439,1,90,18632.0
13055,2009-10-29,32.5,35743.0,0.04,5622.0,2.9,7.6,32.5,11.0,515,2,185,697,18,119,18646.0
13069,2009-11-16,37.3,335.0,51.64,116000.0,23.8,37.3,37.3,2.7020833333333334,93,0,231,335,1,136,18664.0
13074,2009-11-24,34.0,35785.0,0.07,5627.0,2.6,7.5,34.0,828.0,375,6,379,794,16,168,18672.0
13099,2009-12-20,10.6,333.0,51.64,7200.0,2.7,7.9,10.6,2.95,98,30,107,681,1,70,18698.0
13109,2010-02-03,7.9,334.0,51.64,7288.0,2.7,7.9,7.9,2.1840277777777777,98,30,236,439,1,90,18743.0
13111,2010-02-08,37.3,334.0,51.64,116313.0,23.8,37.3,37.3,2.2118055555555554,93,0,231,335,1,136,18748.0
13131,2010-03-20,31.0,35760.0,0.07,6379.0,2.8,5.6,31.0,1442.0,518,0,185,697,18,119,18788.0
13134,2010-04-02,10.6,342.0,51.65,7193.0,2.7,7.9,10.6,2.2256944444444446,98,30,107,681,1,70,18801.0
13136,2010-04-05,37.3,342.0,51.65,116388.0,23.8,37.3,37.3,2.3222222222222224,93,0,231,335,1,136,18804.0
13142,2010-04-22,8.8,407.0,40.0,5000.0,2.9,8.8,8.8,225.38611111111112,519,0,332,824,1,223,18821.0
13149,2010-04-28,7.9,245.0,51.64,7288.0,2.7,7.9,7.9,3.7708333333333335,98,30,236,439,1,90,18827.0
13151,2010-05-14,37.3,200.0,51.64,115816.0,23.8,37.3,37.3,2.602777777777778,93,0,231,335,1,136,18843.0
13152,2010-05-20,0.7,283.0,29.97,1.0,0.1,0.1,0.7,39.0,520,10,408,699,1,47,18849.0
13153,2010-05-20,0.1,290.0,29.98,1.0,0.1,0.1,0.1,53.0,521,10,409,699,1,23,18849.0
13154,2010-05-20,0.1,286.0,29.97,1.0,0.1,0.1,0.1,37.0,522,10,410,699,1,23,18849.0
13155,2010-05-20,5.0,298.0,31.47,647.0,1.0,1.5,5.0,1.25,436,10,347,825,3,119,18849.0
13156,2010-05-20,20.0,298.0,31.47,315.0,1.6,1.0,20.0,1.25,436,10,363,826,3,224,18849.0
13157,2010-05-20,0.4,298.0,31.47,26.0,0.4,0.4,0.4,1.25,523,10,411,827,3,23,18849.0
13160,2010-05-21,39.8,35765.0,0.08,5471.0,2.8,4.5,39.8,10.0,515,2,330,828,16,119,18850.0
13174,2010-06-04,3.6,234.0,34.5,6000.0,3.6,14.9,3.6,23.0,524,0,412,830,1,225,18864.0
13181,2010-06-15,10.6,347.0,51.65,7200.0,2.7,7.9,10.6,2.93125,98,30,107,681,1,70,18875.0
13192,2010-06-30,7.9,235.0,51.65,7243.0,2.7,7.9,7.9,4.678472222222222,98,30,236,439,1,90,18890.0
13230,2010-09-10,7.9,249.0,51.64,7122.0,2.7,7.9,7.9,2.498611111111111,98,30,236,439,1,90,18962.0
13232,2010-09-11,25.3,32613.0,40.95,4100.0,2.9,6.2,25.3,2362.0,530,10,123,833,13,119,18963.0
13248,2010-10-07,10.6,245.0,51.65,7200.0,2.7,7.9,10.6,3.0006944444444446,98,30,107,834,1,70,18989.0
13260,2010-10-27,7.9,250.0,51.65,7289.0,2.7,7.9,7.9,3.691666666666667,98,30,236,439,1,90,19009.0
13291,2010-12-08,3.6,279.0,34.54,3750.0,3.6,2.9,3.6,0.79375,524,0,412,830,1,26,19051.0
13292,2010-12-08,0.6,277.0,34.54,4.0,0.1,0.3,0.6,39.0,317,0,420,701,1,92,19051.0
13293,2010-12-08,0.3,276.0,34.53,4.0,0.1,0.3,0.3,35.0,535,0,421,701,1,23,19051.0
13294,2010-12-08,0.2,270.0,34.54,1.0,0.1,0.1,0.1,23.0,536,0,240,838,1,23,19051.0
13295,2010-12-08,0.2,270.0,34.54,1.0,0.1,0.1,0.1,23.0,536,0,240,838,1,23,19051.0
13296,2010-12-08,0.6,276.0,34.53,4.0,0.1,0.3,0.6,29.0,317,0,420,701,1,92,19051.0
13297,2010-12-08,0.2,269.0,34.53,1.0,0.1,0.1,0.1,22.0,536,0,240,838,1,23,19051.0
13298,2010-12-08,0.2,269.0,34.53,1.0,0.1,0.1,0.1,22.0,536,0,240,838,1,23,19051.0
13299,2010-12-08,0.8,279.0,34.54,4.0,0.1,0.3,0.8,14.0,537,0,422,701,1,119,19051.0
13301,2010-12-15,10.6,228.0,51.65,7200.0,2.7,7.9,10.6,2.8409722222222222,98,30,107,681,1,70,19058.0
13305,2010-12-26,39.4,35780.0,0.12,5800.0,2.4,4.5,39.4,431.0,375,6,330,710,16,168,19069.0
13308,2010-12-29,26.7,35783.0,0.06,5270.0,2.2,5.4,26.7,1889.0,223,13,185,697,16,187,19072.0
13316,2011-01-22,9.8,308.0,51.65,16000.0,4.4,9.8,9.8,5.486805555555556,436,10,399,815,1,2,19096.0
13317,2011-01-28,7.9,260.0,51.65,7284.0,2.7,7.9,7.9,2.1104166666666666,98,30,236,439,1,90,19102.0
13319,2010-11-20,3.0,615.0,71.97,3.0,0.1,0.2,3.0,301.0,44,0,395,701,0,139,19033.0
13323,2011-02-16,22.3,266.0,51.64,19712.0,4.5,9.8,22.3,8.665972222222223,110,15,330,842,1,12,19121.0
13325,2011-02-24,37.3,208.0,51.64,116700.0,23.8,37.3,37.3,2.801388888888889,93,0,231,335,1,136,19129.0
13331,2011-04-04,10.6,248.0,51.64,7219.0,2.7,7.9,10.6,2.964583333333333,98,30,107,681,1,70,19168.0
13339,2011-04-22,25.6,35777.0,0.06,3000.0,2.5,4.9,25.6,528.0,541,61,305,839,16,119,19186.0
13343,2011-04-27,7.9,231.0,51.64,7289.0,2.7,7.9,7.9,2.602777777777778,98,30,236,439,1,90,19191.0
13349,2011-05-16,37.3,321.0,51.64,116112.0,23.8,37.3,37.3,2.426388888888889,93,0,231,335,1,136,19210.0
13357,2011-06-07,10.6,247.0,51.65,7102.0,2.7,7.9,10.6,2.8875,98,30,107,834,1,70,19232.0
13361,2011-06-15,0.5,233.0,55.67,13.0,0.2,0.5,0.5,21.0,492,55,392,805,1,13,19240.0
13365,2011-06-21,7.9,283.0,51.64,7285.0,2.7,7.9,7.9,2.692361111111111,98,30,236,439,1,90,19246.0
13376,2011-07-08,37.3,214.0,51.64,116112.0,23.8,37.3,37.3,2.629861111111111,93,0,231,335,1,136,19263.0
13388,2011-07-15,18.0,35619.0,0.08,3112.0,2.3,4.3,18.0,14.0,515,2,305,848,18,119,19270.0
13392,2011-07-08,0.2,365.0,51.64,4.0,0.1,0.2,0.2,153.0,313,0,271,620,1,23,19263.0
13406,2011-01-28,0.8,377.0,51.64,30.0,0.4,0.5,0.8,4.0,98,30,425,53,1,47,19102.0
13407,2011-08-05,20.0,262.0,28.91,3625.0,3.5,3.5,22.0,0.9819444444444444,8,0,348,850,3,228,19291.0
13422,2011-08-17,0.2,610.0,98.27,14.0,0.2,0.2,0.2,76.0,426,3,309,686,10,47,19303.0
13423,2011-08-17,0.2,627.0,98.26,14.0,0.2,0.2,0.2,76.0,426,3,309,686,10,47,19303.0
13430,2011-09-10,1.1,0.0,29.56,307.0,0.8,1.1,1.1,1.1652777777777779,8,0,348,856,7,119,19327.0
13431,2011-09-10,1.1,80.0,29.47,307.0,0.8,1.1,1.1,1.1659722222222222,8,0,348,856,7,119,19327.0
13438,2011-09-21,23.6,35783.0,0.05,3200.0,2.3,4.9,23.6,1.0,515,2,305,848,16,119,19338.0
13444,2011-09-24,39.0,35618.0,0.06,4600.0,2.7,6.3,39.0,159.0,375,6,276,710,18,119,19341.0
13448,2011-09-29,18.4,334.0,42.78,8500.0,3.3,9.0,9.0,2377.011111111111,335,11,84,859,1,117,19346.0
13454,2011-09-29,26.7,35774.0,0.06,5514.0,2.2,5.5,26.7,12.0,515,2,185,697,16,187,19346.0
13461,2011-10-07,34.0,35275.0,0.05,5400.0,2.0,5.8,34.0,146.0,375,6,379,724,18,168,19354.0
13481,2011-10-30,7.9,254.0,51.64,7282.0,2.7,7.9,7.9,3.4868055555555557,98,30,236,439,1,90,19377.0
13483,2011-10-31,17.0,262.0,42.78,5500.0,3.2,9.3,17.0,2.727777777777778,333,11,262,607,1,20,19378.0
13496,2011-11-14,10.6,281.0,51.64,7220.0,2.7,7.9,10.6,2.225,98,30,107,681,1,70,19392.0
13498,2011-10-31,4.3,332.0,42.8,1500.0,2.8,2.3,4.3,154.0,333,11,84,608,1,20,19378.0
13505,2011-11-26,3.0,194.0,34.9,3839.0,1.5,2.1,3.0,1.0208333333333333,8,0,348,200,3,232,19404.0
13528,2011-12-21,10.6,279.0,51.64,7205.0,2.7,7.9,10.6,2.6381944444444443,98,30,107,834,1,70,19429.0
13547,2012-01-25,7.9,234.0,51.64,7290.0,2.7,7.9,7.9,3.00625,98,30,236,439,1,234,19464.0
13549,2012-02-03,0.5,275.0,56.02,50.0,0.5,0.4,0.5,59.0,492,55,440,868,1,23,19473.0
13552,2012-02-13,0.4,316.0,69.49,12.0,0.3,0.3,0.4,2994.0,561,4,442,870,0,47,19483.0
13557,2012-02-13,1.0,308.0,69.48,1.0,0.1,0.1,1.0,988.0,566,63,447,699,0,131,19483.0
13569,2012-03-23,22.3,270.0,51.64,19714.0,4.5,10.3,22.3,5.938194444444444,110,15,330,842,1,12,19522.0
13582,2012-04-20,7.9,252.0,51.65,7290.0,2.7,7.9,7.9,2.6104166666666666,98,30,236,439,1,234,19550.0
13599,2012-05-15,10.6,244.0,51.64,7100.0,2.7,7.9,10.6,1.1916666666666667,98,30,107,834,1,70,19575.0
13609,2012-05-17,1.5,662.0,98.17,50.0,0.5,0.5,1.5,2533.0,436,10,363,802,10,119,19577.0
13618,2012-05-22,16.5,387.0,51.61,6650.0,3.7,5.3,16.5,3.5805555555555557,524,0,412,830,1,237,19582.0
13630,2012-06-16,17.0,328.0,42.78,8082.0,3.2,9.3,17.0,2.2555555555555555,333,11,262,607,1,20,19607.0
13638,2012-06-16,4.3,333.0,42.78,1500.0,2.8,2.3,4.3,169.0,333,11,84,608,1,20,19607.0
13646,2012-07-15,10.6,292.0,51.64,7100.0,2.7,7.9,10.6,2.2020833333333334,98,30,107,834,1,70,19636.0
13648,2012-07-21,9.8,233.0,51.66,15400.0,4.4,9.8,9.8,6.522916666666666,436,10,399,815,1,2,19642.0
13651,2012-07-22,0.9,805.0,98.95,95.0,0.6,0.6,0.9,2809.0,577,3,172,683,10,131,19643.0
13663,2012-08-01,7.9,263.0,51.64,7290.0,2.7,7.9,7.9,1.0541666666666667,98,30,236,439,1,234,19653.0
13675,2012-08-01,0.5,401.0,51.64,8.0,0.5,0.5,0.5,2.0,98,30,455,883,1,4,19653.0
13676,2012-08-30,101.7,595.0,10.03,648.0,1.8,1.3,101.7,71.0,579,0,6,884,8,240,19682.0
13677,2012-08-30,101.7,598.0,9.99,667.0,1.8,1.3,101.7,71.0,579,0,6,884,8,240,19682.0
13707,2012-10-08,16.5,393.0,51.64,7426.0,3.7,5.3,16.5,2.4555555555555557,524,0,412,830,1,237,19721.0
13708,2012-10-08,5.0,165.0,51.64,165.0,0.2,0.5,5.0,2.0,208,0,462,888,1,163,19721.0
13713,2012-07-21,0.1,402.0,51.65,1.0,0.1,0.1,0.1,348.0,589,10,464,699,1,23,19642.0
13714,2012-07-21,0.1,402.0,51.65,1.0,0.1,0.1,0.1,288.0,590,0,465,699,1,23,19642.0
13731,2012-10-23,10.6,249.0,51.65,7218.0,2.7,7.9,10.6,2.520138888888889,98,30,107,834,1,70,19736.0
13735,2012-10-31,7.9,401.0,51.65,7290.0,2.7,7.9,7.9,0.5645833333333333,98,30,236,439,1,234,19744.0
13749,2012-11-18,2.0,488.0,97.35,130.0,1.0,1.0,2.0,2512.0,595,11,468,891,12,242,19762.0
13770,2012-12-19,10.6,252.0,51.65,7100.0,2.7,7.9,10.6,2.589583333333333,98,30,107,834,1,70,19793.0
13781,2013-01-27,16.5,511.0,97.5,1500.0,4.0,3.0,16.5,2215.23125,403,10,123,692,12,119,19832.0
13786,2013-01-30,1.8,296.0,80.28,100.0,0.6,0.9,1.8,2478.0,334,31,324,896,0,119,19835.0
13800,2013-02-11,7.9,401.0,51.65,7283.0,2.7,7.9,7.9,0.8576388888888888,98,30,236,439,1,234,19847.0
13802,2013-02-11,13.0,668.0,98.24,2782.0,2.5,5.8,13.0,108.0,2,0,470,899,10,188,19847.0
13813,2013-03-01,16.5,203.0,51.68,8830.0,3.7,5.3,16.5,2.4381944444444446,524,0,412,830,1,237,19865.0
13819,2013-03-26,30.0,35778.0,0.0,5474.0,3.0,8.0,30.0,421.0,314,21,185,697,16,119,19890.0
13822,2013-03-28,10.6,401.0,51.65,7220.0,2.7,7.9,10.6,1.1027777777777779,98,30,107,834,1,70,19892.0
13827,2013-04-19,6.5,557.0,64.88,6266.0,2.4,6.5,6.5,30.133333333333333,604,30,236,902,1,89,19914.0
13828,2013-04-19,0.1,258.0,64.94,1.0,0.1,0.1,0.1,80.0,605,31,474,699,1,23,19914.0
13839,2013-04-21,0.1,218.0,51.62,1.0,0.1,0.1,0.1,6.0,44,0,395,699,1,23,19916.0
13843,2013-04-21,0.1,213.0,51.63,1.0,0.1,0.1,0.1,5.0,44,0,395,699,1,23,19916.0
13845,2013-04-24,7.9,298.0,51.64,7290.0,2.7,7.9,7.9,2.517361111111111,98,30,236,439,1,234,19919.0
13860,2013-05-14,30.0,35785.0,0.02,5470.0,2.6,7.0,30.0,430.0,375,6,379,907,16,119,19939.0
13867,2013-05-28,10.6,408.0,51.65,7100.0,2.7,7.9,10.6,1.0902777777777777,98,30,107,834,1,70,19953.0
13869,2013-06-03,39.8,35781.0,0.05,6140.0,3.3,7.7,39.8,1.0,515,2,330,710,16,119,19959.0
13872,2013-06-05,22.3,251.0,51.62,19844.0,4.5,9.8,22.3,10.588194444444444,110,15,330,842,1,12,19961.0
