,LDate,Span,Perigee,Inc,mass(kg),length(m),height(m),depth(m),Days,OwnerF,StateF,ManufacturerF,BusF,OpOrbitF,shapeF,DateN
4408,1977-12-08,0.2,459.0,74.03,5.0,0.2,0.2,0.2,213.0,59,1,44,282,1,4,6998.0
4409,1977-12-08,0.2,458.0,74.06,5.0,0.2,0.2,0.2,210.0,59,1,44,282,1,4,6998.0
4410,1977-12-08,0.2,456.0,74.01,5.0,0.2,0.2,0.2,194.0,59,1,44,282,1,4,6998.0
4411,1978-04-26,2.5,610.0,97.6,132.8,0.7,0.64,0.7,1336.0,2,0,61,305,10,130,7137.0
4420,1977-12-08,0.2,457.0,74.01,5.0,0.2,0.2,0.2,234.0,59,1,44,282,1,4,6998.0
4421,1977-12-08,0.2,452.0,74.06,5.0,0.2,0.2,0.2,230.0,59,1,44,282,1,4,6998.0
4422,1978-05-12,13.1,536.0,81.22,2477.7,1.5,5.0,5.0,8070.0,81,1,44,193,1,20,7153.0
4424,1978-05-12,2.0,376.0,65.84,891.97,2.0,4.0,4.0,306.0,59,1,44,248,1,2,7153.0
4426,1977-12-08,0.2,455.0,74.04,5.0,0.2,0.2,0.2,223.0,59,1,44,282,1,4,6998.0
4427,1977-12-08,0.2,452.0,74.06,5.0,0.2,0.2,0.2,229.0,59,1,44,282,1,4,6998.0
4431,1978-05-17,5.1,495.0,74.05,867.2,1.0,2.0,2.0,967.0,81,1,44,156,1,20,7158.0
4435,1977-12-08,0.2,453.0,74.05,5.0,0.2,0.2,0.2,239.0,59,1,44,282,1,4,6998.0
4447,1977-12-08,0.2,454.0,74.03,5.0,0.2,0.2,0.2,259.0,59,1,44,282,1,4,6998.0
4448,1977-12-08,0.2,452.0,74.04,5.0,0.2,0.2,0.2,252.0,59,1,44,282,1,4,6998.0
4469,1978-06-14,30.0,270.0,96.82,13379.58,2.0,19.48,19.48,1166.0,11,0,4,288,12,20,7186.0
4473,1978-06-15,7.2,327.0,51.63,6511.4,2.2,7.49,7.49,1.9152777777777779,101,1,112,222,1,93,7187.0
4484,1978-06-27,7.2,255.0,51.63,6511.4,2.2,7.49,7.49,1.7138888888888888,101,1,112,245,1,93,7199.0
4494,1978-07-07,7.9,327.0,51.63,6957.38,2.3,7.89,7.89,2.5409722222222224,101,1,112,300,1,93,7209.0
4499,1978-07-14,8.6,608.0,62.89,1650.0,1.4,4.4,8.6,4957.0,73,1,125,67,26,30,7216.0
4511,1978-08-07,7.9,335.0,51.63,6957.38,2.3,7.89,7.89,2.9993055555555554,101,1,112,300,1,93,7240.0
4514,1978-08-12,92.0,180.0,28.9,464.82,1.73,1.61,1.73,1.2645833333333334,2,0,134,58,7,2,7245.0
4519,1978-08-26,7.2,358.0,51.64,6511.4,2.2,7.49,7.49,1.6923611111111112,101,1,112,222,1,93,7259.0
4523,1978-09-06,5.0,667.0,62.85,1238.85,1.6,4.2,4.2,9477.0,59,1,103,227,26,115,7270.0
4536,1978-09-19,1.8,171.0,81.36,198.22,1.9,0.9,1.9,14.0,97,1,106,170,1,11,7283.0
4538,1978-10-03,7.9,324.0,51.63,6957.38,2.3,7.89,7.89,3.0416666666666665,101,1,112,300,1,93,7297.0
4552,1978-10-10,13.1,530.0,81.19,2477.7,1.5,5.0,5.0,7080.0,81,1,44,193,1,20,7304.0
4569,1978-10-24,23.0,402.0,82.95,545.09,1.5,1.8,1.8,875.0,66,1,44,283,1,103,7318.0
4574,1978-10-30,10.0,1127.0,65.68,901.88,1.8,1.8,1.8,1.0256944444444445,45,1,54,221,14,112,7324.0
4579,1978-11-13,6.0,520.0,23.5,3117.94,2.4,5.8,6.0,1228.0,37,0,4,295,20,14,7338.0
4584,1978-10-24,0.3,402.0,82.95,15.0,0.3,0.2,0.3,1053.0,128,17,136,313,1,23,7318.0
4616,1978-12-15,5.1,501.0,74.05,867.2,1.0,2.0,2.0,857.0,81,1,44,156,1,20,7370.0
4625,1978-12-20,17.0,422.0,82.95,802.78,2.0,2.1,2.1,3980.0,94,1,85,260,0,2,7375.0
4627,1978-12-22,23.0,341.0,50.68,545.09,1.5,1.8,1.8,222.0,59,1,44,276,1,103,7377.0
4631,1978-12-14,1.8,197.0,62.81,198.22,1.9,0.9,1.9,21.0,97,1,106,170,1,11,7369.0
4646,1979-01-18,8.1,468.0,62.84,1750.0,1.6,3.6,8.1,7258.0,120,1,125,256,26,30,7404.0
4649,1978-12-22,0.2,337.0,50.67,5.0,0.2,0.2,0.2,69.0,59,1,44,282,1,4,7377.0
4650,1978-12-22,0.2,343.0,50.68,5.0,0.2,0.2,0.2,70.0,59,1,44,282,1,4,7377.0
4651,1979-01-11,1.8,199.0,62.81,198.22,1.9,0.9,1.9,16.0,97,1,106,170,1,11,7397.0
4652,1978-12-22,0.2,342.0,50.66,5.0,0.2,0.2,0.2,71.0,59,1,44,282,1,4,7377.0
4653,1978-12-22,0.2,337.0,50.69,5.0,0.2,0.2,0.2,69.0,59,1,44,282,1,4,7377.0
4661,1979-01-31,10.6,358.0,51.65,6788.9,2.72,7.49,7.49,60.424305555555556,101,1,112,317,1,113,7417.0
4664,1979-02-08,2.0,468.0,65.83,891.97,2.0,4.0,4.0,984.0,59,1,44,248,1,2,7425.0
4668,1979-02-13,13.1,535.0,81.22,2477.7,1.5,5.0,5.0,7804.0,81,1,44,193,1,20,7430.0
4670,1979-02-18,2.0,547.0,54.93,145.69,0.71,0.63,0.71,3705.0,2,0,22,305,0,130,7435.0
4672,1979-02-21,0.9,540.0,29.89,95.14,0.8,0.65,0.8,2245.0,72,10,89,319,1,14,7438.0
4678,1979-02-24,2.8,558.0,97.66,842.42,1.83,2.75,2.75,4895.0,131,0,14,20,12,2,7441.0
4681,1979-02-25,7.2,279.0,51.63,6511.4,2.2,7.49,7.49,1.5625,101,1,112,222,1,93,7442.0
4685,1979-02-27,23.0,474.0,73.97,545.09,1.5,1.8,1.8,8609.0,66,1,44,283,0,103,7444.0
4690,1979-03-12,7.9,278.0,51.62,6957.38,2.3,7.89,7.89,2.3048611111111112,101,1,112,300,1,93,7457.0
4714,1979-04-10,7.2,244.0,51.64,6739.35,2.72,7.49,7.49,2.6909722222222223,101,1,112,222,1,93,7486.0
4718,1979-04-12,8.6,645.0,62.93,1650.0,1.4,4.4,8.6,3894.0,73,1,125,67,26,30,7488.0
4721,1979-04-14,13.1,550.0,81.24,2477.7,1.5,5.0,5.0,7649.0,81,1,44,193,1,20,7490.0
4734,1979-05-13,7.9,319.0,51.63,6957.38,2.3,7.89,7.89,2.2631944444444443,101,1,112,300,1,93,7519.0
4750,1979-06-02,2.7,599.0,55.03,152.63,0.7,1.31,1.31,4131.0,51,2,105,321,0,12,7539.0
4752,1979-06-05,8.1,465.0,62.85,1750.0,1.6,3.6,8.1,4862.0,120,1,125,256,26,30,7542.0
4755,1979-06-06,7.2,349.0,51.62,6739.35,2.72,7.49,7.49,2.834722222222222,101,1,112,222,1,93,7543.0
4758,1979-05-25,1.8,162.0,81.34,198.22,1.9,0.9,1.9,49.0,97,1,106,170,1,11,7531.0
4759,1979-06-07,1.6,518.0,50.66,440.04,1.55,1.19,1.55,3543.0,109,14,117,322,1,24,7544.0
4775,1979-06-12,1.8,197.0,81.36,198.22,1.9,0.9,1.9,18.0,97,1,106,170,1,11,7549.0
4779,1979-06-28,7.9,323.0,51.62,6957.38,2.3,7.89,7.89,2.470833333333333,101,1,112,300,1,93,7565.0
4782,1978-12-22,0.2,265.0,50.67,5.0,0.2,0.2,0.2,206.0,59,1,44,282,1,4,7377.0
4784,1978-12-22,0.2,276.0,50.69,5.0,0.2,0.2,0.2,226.0,59,1,44,282,1,4,7377.0
4793,1979-07-06,23.0,342.0,50.68,545.09,1.5,1.8,1.8,199.0,59,1,44,276,1,103,7573.0
4795,1979-07-06,0.2,338.0,50.69,5.0,0.2,0.2,0.2,2.0,59,1,44,282,1,4,7573.0
4796,1979-07-06,0.2,307.0,50.67,5.0,0.2,0.2,0.2,26.0,59,1,44,282,1,4,7573.0
4799,1979-07-11,5.1,503.0,74.04,867.2,1.0,2.0,2.0,899.0,81,1,44,156,1,20,7578.0
4804,1979-07-20,13.1,475.0,81.19,2477.7,1.5,5.0,5.0,4983.0,81,1,44,193,1,20,7587.0
4811,1979-07-31,8.6,457.0,62.86,1650.0,1.4,4.4,8.6,13964.0,73,1,125,67,26,30,7598.0
4833,1979-07-06,0.2,316.0,50.69,5.0,0.2,0.2,0.2,79.0,59,1,44,282,1,4,7573.0
4843,1979-09-20,5.4,481.0,43.6,2872.15,2.7,6.09,6.09,809.0,37,0,4,295,1,125,7649.0
4845,1979-07-06,0.2,330.0,50.72,5.0,0.2,0.2,0.2,106.0,59,1,44,282,1,4,7573.0
4866,1979-07-06,0.2,329.0,50.65,5.0,0.2,0.2,0.2,107.0,59,1,44,282,1,4,7573.0
4883,1979-07-06,0.2,320.0,50.68,5.0,0.2,0.2,0.2,122.0,59,1,44,282,1,4,7573.0
4884,1979-07-06,0.2,323.0,50.68,5.0,0.2,0.2,0.2,122.0,59,1,44,282,1,4,7573.0
4887,1979-10-20,8.6,608.0,62.91,1650.0,1.4,4.4,8.6,5235.0,73,1,125,67,26,30,7679.0
4892,1979-07-06,0.2,315.0,50.68,5.0,0.2,0.2,0.2,124.0,59,1,44,282,1,4,7573.0
4893,1979-07-06,0.2,327.0,50.68,5.0,0.2,0.2,0.2,128.0,59,1,44,282,1,4,7573.0
4894,1979-07-06,0.2,316.0,50.69,5.0,0.2,0.2,0.2,183.0,59,1,44,282,1,4,7573.0
4895,1979-07-06,0.2,329.0,50.7,5.0,0.2,0.2,0.2,229.0,59,1,44,282,1,4,7573.0
4896,1979-07-06,0.2,314.0,50.68,5.0,0.2,0.2,0.2,118.0,59,1,44,282,1,4,7573.0
4897,1979-07-06,0.2,355.0,50.68,5.0,0.2,0.2,0.2,154.0,59,1,44,282,1,4,7573.0
4901,1979-07-06,0.2,317.0,50.67,5.0,0.2,0.2,0.2,129.0,59,1,44,282,1,4,7573.0
4902,1979-10-30,7.6,347.0,96.79,179.39,0.8,1.6,7.6,225.0,2,0,6,191,12,133,7689.0
4907,1979-11-01,23.0,454.0,74.04,545.09,1.5,1.8,1.8,488.0,66,1,44,283,1,103,7691.0
4912,1979-07-06,0.2,318.0,50.66,5.0,0.2,0.2,0.2,152.0,59,1,44,282,1,4,7573.0
4913,1979-07-06,0.2,329.0,50.69,5.0,0.2,0.2,0.2,139.0,59,1,44,282,1,4,7573.0
4914,1979-07-06,0.2,301.0,50.67,5.0,0.2,0.2,0.2,152.0,59,1,44,282,1,4,7573.0
4915,1979-07-06,0.2,298.0,50.71,5.0,0.2,0.2,0.2,147.0,59,1,44,282,1,4,7573.0
4920,1979-07-06,0.2,284.0,50.69,5.0,0.2,0.2,0.2,151.0,59,1,44,282,1,4,7573.0
4921,1979-07-06,0.2,289.0,50.68,5.0,0.2,0.2,0.2,151.0,59,1,44,282,1,4,7573.0
4922,1979-07-06,0.2,296.0,50.69,5.0,0.2,0.2,0.2,152.0,59,1,44,282,1,4,7573.0
4923,1979-07-06,0.2,309.0,50.67,5.0,0.2,0.2,0.2,154.0,59,1,44,282,1,4,7573.0
4924,1979-11-27,13.1,622.0,81.22,2477.7,1.5,5.0,5.0,7507.0,81,1,44,193,0,20,7717.0
4926,1979-12-05,2.0,438.0,65.86,891.97,2.0,4.0,4.0,721.0,59,1,44,325,1,2,7725.0
4933,1979-12-16,10.6,357.0,51.61,6788.9,2.72,7.49,7.49,3.5868055555555554,101,1,112,317,1,93,7736.0
4935,1979-07-06,0.2,281.0,50.68,5.0,0.2,0.2,0.2,168.0,59,1,44,282,1,4,7573.0
4936,1979-07-06,0.2,276.0,50.66,5.0,0.2,0.2,0.2,168.0,59,1,44,282,1,4,7573.0
4937,1979-12-24,2.5,182.0,17.63,1602.0,1.1,2.5,2.5,3626.0,110,15,138,326,17,2,7744.0
4947,1980-01-11,8.6,484.0,62.86,1650.0,1.4,4.4,8.6,4668.0,73,1,125,67,26,30,7762.0
4954,1980-01-23,21.5,633.0,82.52,1888.0,2.4,5.0,21.5,12612.677777777777,133,1,44,327,0,134,7774.0
4958,1980-01-24,6.3,171.0,67.14,6640.24,2.4,6.99,6.99,13.0,73,1,106,258,1,1,7775.0
4962,1980-01-30,13.1,629.0,81.22,2477.7,1.5,5.0,5.0,8315.0,81,1,44,193,0,20,7781.0
4967,1980-02-07,30.0,304.0,97.05,13379.58,2.0,19.48,19.48,996.0,11,0,4,288,12,20,7789.0
4981,1980-02-14,10.0,566.0,28.51,2294.35,2.3,4.0,4.0,1517.5777777777778,2,0,111,328,1,20,7796.0
4984,1980-02-17,1.8,517.0,38.69,183.35,1.0,0.82,1.0,1180.0,72,10,89,239,1,5,7799.0
5006,1980-03-27,2.0,471.0,65.84,891.97,2.0,4.0,4.0,1071.0,59,1,44,248,1,2,7838.0
5008,1980-03-27,7.9,340.0,51.62,6957.38,2.3,7.89,7.89,2.8340277777777776,101,1,112,300,1,93,7838.0
5010,1980-03-03,10.0,765.0,63.47,200.0,0.4,0.9,10.0,15005.672222222222,23,0,47,280,0,47,7814.0
5015,1980-04-09,7.2,332.0,51.62,6739.35,2.72,7.49,7.49,1.636111111111111,101,1,112,222,1,93,7851.0
5018,1980-04-12,5.0,646.0,62.85,1238.85,1.6,4.2,4.2,6467.0,59,1,103,227,26,115,7854.0
5028,1980-04-18,8.1,306.0,62.8,1750.0,1.6,3.6,8.1,164.0,120,1,125,256,1,30,7860.0
5030,1980-04-27,7.9,326.0,51.63,6957.38,2.3,7.89,7.89,2.339583333333333,101,1,112,300,1,93,7869.0
5040,1980-05-14,2.0,300.0,82.97,545.09,1.5,1.8,1.8,3352.0,59,1,44,325,0,103,7886.0
5049,1980-05-26,7.2,327.0,51.63,6739.35,2.72,7.49,7.49,1.8375,101,1,112,222,1,93,7898.0
5054,1980-05-29,4.9,267.0,92.23,716.55,1.88,3.71,3.71,339.0,69,0,8,311,9,116,7901.0
