,"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments
34,Aerocube 6A,Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,614,700,0.006119254304824249,97.98,97.88,5.0,,,2014-06-19,3.0,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045,Technology development for cubesat constellation.
35,Aerocube 6B,Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,614,700,0.006119254304824249,97.98,97.88,5.0,,,2014-06-19,3.0,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046,Technology development for cubesat constellation.
36,Aerocube 7A,Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,500,802,0.021506907847884917,64.6,97.4,2.0,,,2015-10-08,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966,
37,Aerocube 7B,Aerocube 7B,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,432,437,0.000367403923873907,53.6,93.2,2.0,,,2017-11-12,,Aerospace Corporation,USA,Wallops Island Flight Facility,Antares 230,2017-071F,43042,
38,Aerocube 7C,Aerocube 7C,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,432,437,0.000367403923873907,53.6,93.2,2.0,,,2017-11-12,,Aerospace Corporation,USA,Wallops Island Flight Facility,Antares 230,2017-071G,43043,
39,Aerocube 8A,Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,356,700,0.02493476369962308,55.0,95.19,5.0,,,2015-05-20,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659,
40,Aerocube 8B,Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,356,700,0.02493476369962308,55.0,95.19,5.0,,,2015-05-20,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660,
41,Aerocube 8C,Aerocube 8C,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,569,584,0.0010796804145972792,97.9,96.2,5.0,,,2016-11-11,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067F,41853,
42,Aerocube 8D,Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,572,584,0.0008635578583765112,98.0,96.23,2.0,,,2016-11-11,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067E,41852,
43,"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])",Eutelsat 48D,France,Multinational,EUTELSAT S.A.,Commercial,Communications,,GEO,,48.0,35764,35808,0.0005218711452699497,0.12,1436.08,3460.0,1555,7000,2008-12-20,15.0,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,30 Ku-band transponders.
44,AIM (Aeronomy of Ice in Mesosphere),AIM,USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,544,552,0.0005782017924255566,97.9,96.2,215.0,197,216,2007-04-25,2.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.
45,AISat-1,AISat-1,Germany,Germany,German Aerospace Center (DLR),Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,643,660,0.0012105675425478886,98.25,97.76,14.0,,,2014-06-30,,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV-CA,2014-034B,40054,Satellite equipped with AIS tracking.
