,"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments
71,"AMC-2 (Americom 2, GE-2)",AMC-2,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-100.98,35774,35798,0.0002846569883290635,0.05,1436.1,2648.0,1600,"6,500 (EOL)",1997-01-30,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band"
72,AMC-21 (Americom 21),AMC-21,United Kingdom,USA,SES S.A.,Commercial,Communications,,GEO,,-124.86,35778,35793,0.00017791272787655228,3.0,1436.1,2500.0,,5000,2008-08-14,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,"Television services to the US, Canada, Mexico and Caribbean."
73,"AMC-4 (Americom-4, GE-4)",AMC-4,USA,USA,SES S.A./Gogo,Commercial,Communications,,GEO,,-100.99,35781,35791,0.00011860707847044311,0.01,1436.1,3909.0,2500,,1999-11-13,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954,"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band"
74,"AMC-6 (Americom-6, GE-6)",AMC-6,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-71.98,35778,35795,0.00020162964192947707,0.05,1436.12,3901.0,2500,,2000-10-22,15.0,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America"
75,"AMC-8 (Americom-8, GE-8, Aurora 3)",AMC-8,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-139.0,35773,35798,0.00029652121312758714,0.03,1436.07,2015.0,919,3300,2000-12-19,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639,"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean"
76,AmGU-1 (AmurSat-1),AmGU-1,Russia,Russia,Moscow State University,Civil,Space Science,,LEO,Sun-Synchronous,0.0,514,547,0.0023911310774581552,97.5,95.2,4.0,,,2019-07-05,,Moscow State University,Russia,Vostochny Cosmodrome,Soyuz 2.1b,2019-038J,44394,Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.
77,Amos 17,Amos 17,NR (12/20),Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,17.0,35777,35793,0.00018977582730399716,0.0,1436.04,6500.0,,,2019-08-06,20.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2019-050A,44479,Replaces Amos 5 which failed in 2015.
78,Amos 3,Amos 3,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,-3.99,35783,35789,7.116424708226587e-05,0.04,1436.1,,,,2008-04-28,12.0,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794,"15 transponders, Ku and Ka bands."
79,Amos 4,Amos 4,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,65.0,35633,35796,0.0019365799760006654,0.01,1432.0,,,,2013-08-31,12.0,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,2013-045A,39237,"Full range of satellite services for Russia, the Middle East and additional service areas. Suggested military surveillance purpose as well."
80,Amsat-Oscar 7 (AO-7),Amsat-Oscar 7,USA,USA,AMSAT-NA,Civil,Communications,,LEO,Polar,0.0,1440,1459,0.001214911439350342,101.4,114.9,29.0,,,1974-11-15,,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530,American amateur radio satellite.
81,"ANASIS-II (Army, Navy Air Force Satellite Information System 2, KMilSatCom 1)",ANASIS-II,NR (12/20),South Korea,Agency for Defense Development,Military,Communications,,GEO,,115.9,35781,35792,0.00013046623889554398,0.01,1436.1,,,,2020-07-20,15.0,Airbus Defense and Space,France/UK/Germany/Spain,Cape Canaveral,Falcon 9,2020-048A,45920,First South Korean military satellite.
82,ANDESITE Mule (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors),ANDESITE Mule,USA,USA,ANDESITE - Boston University,Civil,Space Science/Technology Demonstration,,LEO,Sun-Synchronous,0.0,582,600,0.00129291768424077,97.7,96.5,9.0,,,2020-06-13,,Boston University,USA,Rocket Lab Launch Complex 1,Electron,2020-037D,45726,Mule carries 8 sensor plates that will be released and gather data for a 3-dimensional view of plasma currents. Each about size of piece of bread - each has magnetometer and radio transmitter.
83,ANGELS (Argos Neo on a Generic Economical and Light Satellite),ANGELS,France,ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,,LEO,Sun-Synchronous,0.0,509,524,0.0010890873448050533,97.4,94.9,18.0,,,2019-12-18,,CNES ,ESA,Guiana Space Center,Soyuz,2019-092D,44876,"Miniaturized Argos Neo instrument ten times smaller than the equivalent previous-generation device. The instrument collects and locates low-power signals and messages sent by the 20,000 Argos transmitters operating around the globe. "
84,Anik F1 ,Anik F1,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.27,35778,35793,0.00017791272787655228,0.02,1436.08,4710.0,2950,"15,500 (EOL)",2000-11-21,15.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,
85,Anik F1R,Anik F1R,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.3,35777,35795,0.0002134927412467976,0.02,1436.1,4500.0,,10000,2005-09-09,15.0,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2005-036A,28868,
86,Anik F2 ,Anik F2,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-111.07,35781,35790,0.00010674763672593138,0.01,1436.08,5910.0,3805,16000,2004-07-18,15.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378,"24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada"
87,Anik F3,Anik F3,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-118.69,35778,35794,0.000189771325552709,0.01,1436.1,4715.0,,17500,2007-04-09,15.0,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2007-009A,31102,"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America."
88,Anik G1,Anik G1,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-107.3,35773,35799,0.0003083784040231521,0.01,1436.08,4905.0,,17500,2013-04-15,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-014A,39127,16 extended Ku-band transponders fully contracted to Shaw Direct for 15 years.
89,Aoba-VELOX 4,Aoba-VELOX 4,NR,Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,,LEO,Sun-Synchronous,0.0,481,513,0.002329983981360128,97.3,94.6,3.0,,,2019-01-18,,Kyushu Institute of Technology,Japan,Uchinoura Space Center,Epsilon,2019-003J,43940,"Will demonstrate an attitude control and orbital control system, and a low-light camera, for lunar observations."
90,AprizeSat 1 (LatinSat-C),AprizeSat 1,USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,0.0,696,764,0.004788732394366197,98.0,99.4,12.0,12,,2004-06-29,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr,2004-025G,28372,Messaging services.
91,AprizeSat 10 (exactView-13),AprizeSat 10,NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,613,733,0.008519096975720574,97.9,98.0,12.0,12,,2014-06-19,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033K,40019,Will provide tracking and data monitoring services for companies with remote or mobile assets.
92,AprizeSat 2 (LatinSat-D),AprizeSat 2,USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,0.0,694,850,0.010921310557266872,98.2,100.3,12.0,12,,2004-06-29,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr,2004-025A,28366,Messaging services.
93,AprizeSat 3 ,AprizeSat 3,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,559,662,0.007377695007520951,98.18,97.0,12.0,12,,2009-07-29,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041F,35686,Will provide tracking and data monitoring services for companies with remote or mobile assets.
94,AprizeSat 4 ,AprizeSat 4,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,604,674,0.0049935796832643745,98.1,97.5,12.0,12,,2009-07-29,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041D,35684,Will provide tracking and data monitoring services for companies with remote or mobile assets.
95,AprizeSat 5,AprizeSat 5,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,610,694,0.005981201936770151,98.2,97.8,12.0,12,,2011-08-17,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2011-044E,37792,Continuation of constellation.
96,AprizeSat 7,AprizeSat 7,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,594,653,0.004218202616715521,97.8,97.17,12.0,12,,2013-11-21,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066A,39416,Continuation of constellation.
97,AprizeSat 8 (exactView-12),AprizeSat 8,NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,594,669,0.005355995143897736,97.8,97.99,12.0,12,,2013-11-21,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066K,39425,Continuation of constellation.
98,AprizeSat 9 (exactView-11),AprizeSat 9,NR,Canada,exactEarth,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.0,613,715,0.0072504975831674725,97.9,98.0,12.0,12,,2014-06-19,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033J,40018,Will provide tracking and data monitoring services for companies with remote or mobile assets.
99,Apstar 6,Apstar 6,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,134.04,35778,35794,0.000189771325552709,0.01,1436.08,4680.0,,,2005-04-12,,Alcatel Space Industries,France/Italy,Xichang Satellite Launch Center,Long March 3B,2005-012A,28638,Partial power failure in 2018. Apstar 6C has taken over its position.
100,Apstar 6C,Apstar 6C,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,134.0,35783,35790,8.302397020625527e-05,0.05,1436.1,,,,2018-05-03,15.0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2018-041A,43450,"45 C-band, Ku-band and Ka-band transponders, Apstar 6C’s wider coverage zone will stretch from Siberia and India in the north and west, to Australia and Hawaii in the south and east."
101,Apstar 6D,Apstar 6D,NR (7/20),China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,134.0,35785,35885,0.0011846937566639024,0.01,1438.5,5550.0,,,2020-07-09,15.0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2020-045A,45863,"Will use a conventional liquid-fueled engine to raise its orbit in the coming weeks, then rely on electric plasma thrusters to hold position in geostationary orbit during its planned 15-year mission."
102,Apstar 7,Apstar 7,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,76.5,35864,35874,0.00011837401453632898,0.03,1440.31,5054.0,,,2012-03-31,15.0,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B,2012-013A,38107,Replacement for Apstar 2R.
103,Apstar 9,Apstar 9,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,142.0,35782,35788,7.116593523899893e-05,0.12,1436.01,5200.0,,10500,2015-10-16,15.0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-059A,40982,Replacement for Apstar 9A.
104,Arabsat 5C,Arabsat 5C,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,19.99,35766,35805,0.00046257309247903596,0.06,1436.06,4630.0,,,2011-09-21,15.0,Astrium/Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2011-049B,37810,"26 active C-band transponders, 12 active Ka-band transponders"
105,Arabsat 6A,Arabsat 6A,NR,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,,GEO,,30.5,35774,35811,0.000438778535428402,0.01,1436.0,6465.0,,20000,2019-04-11,15.0,Lockheed Martin,USA,Cape Canaveral,Falcon Heavy,2019-021A,44186,
106,Arabsat 7F (Nimiq 1) ,Arabsat 7F,Canada,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,,GEO,,44.5,35778,35794,0.000189771325552709,0.01,1436.09,3600.0,1700,8600,1999-05-20,12.0,Lockheed Martin/Spar Aerospace,USA/Canada,Baikonur Cosmodrome,Proton D,1999-027A,25740,Television broadcast;  32 Ku-band.
107,Arkyd-6A,Arkyd-6A,USA,USA,Planetary Resources,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,493,505,0.0008734895909157083,97.5,94.5,10.0,,,2018-01-11,,Planetary Resources,USA,Satish Dhawan Space Centre,PSLV,2018-004V,43130,
108,ARMADILLO (Attitude Related Maneuvers and Debris Instrument in Low (L) Orbit),ARMADILLO,USA,USA,Satellite Design Laboratory UT Austin/Baylor University,Civil,Technology Development,,Elliptical,,0.0,305,851,0.03929188255613126,28.5,96.2,4.0,,,2019-06-25,,UT Austin/Baylor University,USA,Cape Canaveral,Falcon Heavy,2019-036P,44352,See link
109,ArSat 1,ArSat 1,Argentina,Argentina,ArSat,Commercial,Communications,,GEO,,-71.8,35778,35795,0.00020162964192947707,0.01,1436.07,3000.0,,,2014-10-16,15.0,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2014-062B,40272,"First geostationary communications satellite built in Argentina. It will support television broadcasts, data transmission and Internet access for customers in Argentina, Chile, Uruguay and Paraguay."
110,ArSat 2,ArSat 2,Argentina,Argentina,ArSat,Commercial,Communications,,GEO,,-81.0,35786,35801,0.00017787897114803088,0.01,1436.06,2977.0,,4600,2015-09-30,15.0,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2015-054B,40941,
111,AsiaSat-3S (Asiasat 3SA),AsiaSat-3S,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,105.55,35780,35792,0.00014232849416453175,0.02,1436.07,3480.0,2500,10000,1999-03-21,15.0,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,1999-013A,25657,"28 C-band, 16 Ku-band; broadcasting, internet services, multimedia, telecommunications"
112,AsiaSat-5,AsiaSat-5,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,100.5,35778,35795,0.00020162964192947707,0.0,1436.11,3760.0,,,2009-08-11,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,2009-042A,35696,"14 Ku-Band, 26 C-band, serving all of Asia."
113,AsiaSat-6 (Thaicom-7),AsiaSat-6,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,120.0,35783,35793,0.00011860145168176859,0.07,1436.17,3700.0,,,2014-09-07,15.0,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-052A,40141,14 of the 28 C-band transponders will be operated by Thaicom as Thaicom 7.
114,AsiaSat-7,AsiaSat-7,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,105.5,35782,35793,0.0001304631441617743,0.02,1436.17,3813.0,,,2011-11-25,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2011-069A,37933,"28 C-band, 17 Ku-band, and a Ka-band payload. Will replace AsiaSat-3S."
115,AsiaSat-8,AsiaSat-8,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,105.5,35781,35793,0.00014232511801124368,0.07,1436.1,4500.0,,8500,2014-08-05,15.0,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-046A,40107,24 Ku-band transponders.
116,AsiaSat-9,AsiaSat-9,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,122.0,35783,35790,8.302397020625527e-05,0.02,1436.1,6140.0,,,2017-09-28,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2017-057A,42942,"38 Ku-band, 28 C-band transponders. "
117,AsiaStar ,AsiaStar,USA,USA,1Worldspace,Commercial,Communications,,GEO,,104.97,35773,35801,0.00033209194202623525,0.02,1436.15,2775.0,1530,5600,2000-03-21,15.0,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G,2000-016A,26107,"Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers."
118,ASNARO 1 (Advanced Satellite with New system Architecture for Observation),ASNARO-1,Japan,Japan,Japan Space Systems,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,506,507,7.271140841998109e-05,97.48,94.75,500.0,,,2014-11-06,3.0,NEC Corporation,Japan,Dombarovsky Air Base,Dnepr,2014-070A,40298,Japanese optical high-resolution Earth imaging mission under development by the NEC Corporation and USEF (Institute for Unmanned Space Experiment Free Flyer).
119,ASNARO 2 (Advanced Satellite with New system Architecture for Observation),ASNARO-2,Japan,Japan,Japan Space Systems,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0.0,493,505,0.0008734895909157083,97.3,94.5,570.0,,,2018-01-17,3.0,NEC Corporation,Japan,Uchinoura Space Center,Epsilon,2018-007A,43152,X-band radar.
120,Astra 1D ,Astra 1D,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,67.7,35776,35795,0.00022535612197696622,1.15,1436.08,2924.0,1700,3300,1994-11-01,15.0,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 42P,1994-070A,23331,Primarily backup for Astra 1B and 1C; 18 Ku-band transponders; continental Europe.
121,Astra 1F ,Astra 1F,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.22,35778,35797,0.00022534543082488288,0.03,1436.15,3010.0,1800,4400,1996-04-18,15.0,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1996-021A,23842,Direct tv broadcast to Europe; 16 Ku-band transponders; Europe.
122,Astra 1G ,Astra 1G,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.24,35780,35791,0.00013046933377613835,0.04,1436.08,3379.0,3010,6600,1997-12-02,15.0,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1997-076A,25071,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe
123,Astra 1KR,Astra 1KR,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.16,35766,35807,0.0004862832540652094,0.08,1436.1,4332.0,,12000,2006-04-20,15.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2006-012A,29055,32 Ku-band transponders; direct-to-home broadcast services across Europe.
124,Astra 1L,Astra 1L,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.3,35772,35798,0.00030838571936899536,0.05,1436.03,4500.0,,13000,2007-05-04,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-016A,31306,"29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter."
125,Astra 1M,Astra 1M,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,19.2,35804,35852,0.0005687473339968719,0.14,1438.2,5345.0,,9900,2008-11-05,15.0,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2008-057A,33436,Direct-to-home and HD television.
126,Astra 1N,Astra 1N,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.2,35715,35780,0.000771650739003977,0.12,1434.1,5350.0,,,2011-08-06,15.0,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2011-041A,37775,Direct-to-home and HD television.
127,Astra 2A ,Astra 2A,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.16,35776,35797,0.0002490719106187658,0.08,1436.12,3635.0,2500,7000,1998-08-30,15.0,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,1998-050A,25462,"Voice and video communications to Europe; 32 Ku-band for first five years, 28 after."
128,Astra 2B ,Astra 2B,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,31.33,35772,35801,0.00034395644799734324,0.07,1436.11,3315.0,1400,7800,2000-09-14,14.0,Astrium,France/UK/Germany,Guiana Space Center,Ariane 5G,2000-054A,26494,"Direct-to-home; broadcasting, multimedia; 30 Ku-band for first five years, 28 after; UK and Ireland."
129,Astra 2C ,Astra 2C,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.21,35768,35804,0.0004269854824935952,0.07,1436.12,3643.0,2000,7000,2001-06-16,15.0,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,2001-025A,26853,"Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe"
130,Astra 2D,Astra 2D,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.14,35770,35802,0.000379542651105418,0.07,1436.1,1420.0,700,1500,2000-12-19,15.0,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 5G,2000-081A,26638,"Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland."
131,Astra 2E (Eutelsat 28E),Astra 2E,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.2,35781,35793,0.00014232511801124368,0.11,1436.12,6052.0,,13000,2013-09-29,15.0,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2013-056A,39285,"Broadcast, Vsat and broadband services to Europe."
132,Astra 2F (Eutelsat 28F),Astra 2F,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.2,35777,35795,0.0002134927412467976,0.06,1436.07,6000.0,2660,,2012-09-28,15.0,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5 ECA,2012-051A,38778,"Prime position for SES - BBC, ITV, Channel 5."
133,Astra 2G (Eutelsat 28G),Astra 2G,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,28.2,35785,35789,4.74417060037479e-05,0.09,1436.11,6000.0,,13000,2014-12-27,15.0,Airbus Defense and Space,Germany/France,Baikonur Cosmodrome,Proton M,2014-089A,40364,62 Ku-band transponders as well as 4 Ka-band transponders
