id,Name,SATNO,COSPAR ID,VIMPEL ID,Object Class,Mass (kg),Shape,Length (m),Height (m),Depth (m),Re-entry Epoch,Max.cross section (m²),Min. cross section (m²),Avg. cross section (m²)
47317,,,,40200,Unknown,,,,,,,,,
47318,,,,44300,Unknown,,,,,,,,,
47319,,,,143125,Unknown,,,,,,,,,
47320,,,,142616,Unknown,,,,,,,,,
47321,,,,137503,Unknown,,,,,,,,,
47322,,,,142112,Unknown,,,,,,,,,
47323,,,,149806,Unknown,,,,,,,,,
47324,,,,153400,Unknown,,,,,,,,,
47325,,,,145211,Unknown,,,,,,,,,
47326,,,,143684,Unknown,,,,,,,,,
47327,,,,140111,Unknown,,,,,,,,,
47328,,,,140112,Unknown,,,,,,,,,
47329,,,,79702,Unknown,,,,,,,,,
47330,,,,44903,Unknown,,,,,,,,,
47331,,,,138604,Unknown,,,,,,,,,
47332,,,,143217,Unknown,,,,,,,,,
47333,,,,143218,Unknown,,,,,,,,,
47334,,,,163701,Unknown,,,,,,,,,
47335,,,,138102,Unknown,,,,,,,,,
47336,,,,143737,Unknown,,,,,,,,,
47337,,,,142714,Unknown,,,,,,,,,
47338,,,,223100,Unknown,,,,,,,,,
47339,,,,107901,Unknown,,,,,,,,,
47340,,,,133506,Unknown,,,,,,,,,
47341,,,,137602,Unknown,,,,,,,,,
47342,,,,73604,Unknown,,,,,,,,,
47343,,,,116101,Unknown,,,,,,,,,
47344,,,,52101,Unknown,,,,,,,,,
47345,,,,43400,Unknown,,,,,,,,,
47347,,,,158100,Unknown,,,,,,,,,
47348,,,,59801,Unknown,,,,,,,,,
47349,,,,132001,Unknown,,,,,,,,,
47350,,,,140708,Unknown,,,,,,,,,
47351,,,,59301,Unknown,,,,,,,,,
47352,,,,144809,Unknown,,,,,,,,,
47353,,,,58805,Unknown,,,,,,,,,
47354,,,,152502,Unknown,,,,,,,,,
47355,,,,49603,Unknown,,,,,,,,,
47356,,,,143812,Unknown,,,,,,,,,
47358,,,,143814,Unknown,,,,,,,,,
47359,,,,147404,Unknown,,,,,,,,,
47360,,,,49101,Unknown,,,,,,,,,
47361,,,,125401,Unknown,,,,,,,,,
47362,,,,138203,Unknown,,,,,,,,,
47363,,,,138204,Unknown,,,,,,,,,
47364,,,,142814,Unknown,,,,,,,,,
47365,,,,141806,Unknown,,,,,,,,,
47366,,,,137201,Unknown,,,,,,,,,
47367,Antonio José de Sucre,42954,2017-060A,,Payload,942,Box + 2 Pan,1.8,2.1,7.9,,15.0352109423582,3.24,8.35793333333334
47368,Iridium Next SV133,42955,2017-061A,,Payload,860,Trap Cyl + 2 Pan,1.5,3.1,9.4,,21.3256,1.8988,14.4232716911764
47369,Iridium Next SV127,42956,2017-061B,,Payload,860,Trap Cyl + 2 Pan,1.5,3.1,9.4,,21.3256,1.8988,14.4232716911764
47370,Iridium Next SV122,42957,2017-061C,,Payload,860,Trap Cyl + 2 Pan,1.5,3.1,9.4,,21.3256,1.8988,14.4232716911764
47371,Iridium Next SV129,42958,2017-061D,,Payload,860,Trap Cyl + 2 Pan,1.5,3.1,9.4,,21.3256,1.8988,14.4232716911764
47372,Iridium Next SV119,42959,2017-061E,,Payload,860,Trap Cyl + 2 Pan,1.5,3.1,9.4,,21.3256,1.8988,14.4232716911764
47373,Iridium Next SV107,42960,2017-061F,,Payload,860,Trap Cyl + 2 Pan,1.5,3.1,9.4,,21.3256,1.8988,14.4232716911764
47374,Iridium Next SV132,42961,2017-061G,,Payload,860,Trap Cyl + 2 Pan,1.5,3.1,9.4,,21.3256,1.8988,14.4232716911764
47375,Iridium Next SV136,42962,2017-061H,,Payload,860,Trap Cyl + 2 Pan,1.5,3.1,9.4,,21.3256,1.8988,14.4232716911764
47376,Iridium Next SV139,42963,2017-061J,,Payload,860,Trap Cyl + 2 Pan,1.5,3.1,9.4,,21.3256,1.8988,14.4232716911764
47377,Iridium Next SV125,42964,2017-061K,,Payload,860,Trap Cyl + 2 Pan,1.5,3.1,9.4,,21.3256,1.8988,14.4232716911764
47378,Michibiki-4 (QZS-4),42965,2017-062A,,Payload,4020,Box + 2 Pan,2.9,6.2,25.3,,78.7507531892645,8.41,39.5978
47379,H-II LE-5B (H-IIA 202),42966,2017-062B,,Rocket Body,4000,Cyl,4,9.2,9.2,,38.8864201285928,12.5663706143592,35.1858377202057
47380,Intelsat 37e (IS-37e),42950,2017-059A,,Payload,6538,Box + 2 Pan,3.2,7.9,44,,141.63771099111,10.24,65.3690666666667
47381,Falcon 9 Merlin-V (1D+) (Falcon 9 v1.2),42968,2017-063B,,Rocket Body,4300,Cyl,3.6,16,16,,58.4924538651002,10.1787601976309,50.3283143105085
47382,SES-11,42967,2017-063A,,Payload,5300,Box + 2 Pan,3.3,7,35,,118.124239576769,10.89,56.5642666666667
47383,Sentinel-5P,42969,2017-064A,,Payload,817.8,Hex Cyl + 3 Pan,2,2.7,7,,17.9928256770838,2.59807621135332,9.39003810567666
47384,Briz-KM (Rokot-KM),42970,2017-064B,,Rocket Body,2370,Cyl,2,2.3,2.3,,5.57042228211554,3.14159265358979,5.18362787842316
47385,Progress MS-07,42971,2017-065A,,Payload,7428,Cyl + Sphere + Cone + 2 Pan,2.7,7.9,7.9,26/04/2018,22.085082130326,5.7255526111674,19.6153191308513
47386,Blok-I (Soyuz-2-1A),42972,2017-065B,,Rocket Body,2350,Cyl,2.7,6.7,6.7,16/10/2017,18.9744579027504,5.7255526111674,17.0706290814435
47387,,,,131603,Unknown,,,,,,,,,
47388,,,,167701,Unknown,,,,,,,,,
47389,,,,145306,Unknown,,,,,,,,,
47391,,,,126501,Unknown,,,,,,,,,
47392,,,,64806,Unknown,,,,,,,,,
47393,,,,65706,Unknown,,,,,,,,,
47394,,,,134702,Unknown,,,,,,,,,
47395,,,,142513,Unknown,,,,,,,,,
47396,,,,149302,Unknown,,,,,,,,,
47397,,,,138807,Unknown,,,,,,,,,
47398,,,,138808,Unknown,,,,,,,,,
47399,,,,70710,Unknown,,,,,,,,,
47400,,,,143421,Unknown,,,,,,,,,
47401,,,,77002,Unknown,,,,,,,,,
47402,,,,139605,Unknown,,,,,,,,,
47403,,,,73304,Unknown,,,,,,,,,
47404,,,,88800,Unknown,,,,,,,,,
47406,,,,140406,Unknown,,,,,,,,,
47407,,,,143738,Unknown,,,,,,,,,
47408,,,,132604,Unknown,,,,,,,,,
47409,,,,145407,Unknown,,,,,,,,,
47410,"USA 279 (NROL-52, SDS-3, QUASAR)",42949,2017-066A,64807,Payload,5600,Box + 2 Pan + 1 Dish,3,6,35,,103.800681663642,9,48.2226666666667
47411,Proton-M/DM-2 SOZ debris,42976,2010-041R,,Rocket Fragmentation Debris,,,,,,,,,
47412,Proton-M/DM-2 SOZ debris,42977,2010-041S,,Rocket Fragmentation Debris,,,,,,,,,
47413,Proton-M/DM-2 SOZ debris,42980,2010-041V,,Rocket Fragmentation Debris,,,,,,,,,
47414,Proton-M/DM-2 SOZ debris,42981,2010-041W,,Rocket Fragmentation Debris,,,,,,,,,
47415,Proton-M/DM-2 SOZ debris,42973,2010-041N,,Rocket Fragmentation Debris,,,,,,,,,
47416,Proton-M/DM-2 SOZ debris,42975,2010-041Q,,Rocket Fragmentation Debris,,,,,,,,,
47417,Proton-M/DM-2 SOZ debris,42978,2010-041T,,Rocket Fragmentation Debris,,,,,,,,,
47419,,,,127402,Unknown,,,,,,,,,
47420,,,,143916,Unknown,,,,,,,,,
47421,,,,147405,Unknown,,,,,,,,,
47422,,,,144016,Unknown,,,,,,,,,
47423,,,,122801,Unknown,,,,,,,,,
47424,,,,144310,Unknown,,,,,,,,,
47425,,,,139807,Unknown,,,,,,,,,
47426,KestrelEye IIM,42982,1998-067NE,,Payload,45,Box,0.4,1,1,,1.14891252930761,0.4,0.9
47427,Proton-M/DM-2 SOZ debris,42979,2010-041U,,Rocket Fragmentation Debris,,,,,,,,,
47428,Proton-M/DM-2 SOZ debris,42974,2010-041P,33402,Rocket Fragmentation Debris,,,,,,,,,
47429,"SIMPL (Satlet Initial-Mission Proofs and Lessons), HISat (Hyper Integrated Satellite)",42983,1998-067NF,,Payload,50,Box,0.3,0.3,0.3,,0.155884572681199,0.09,0.135
47432,Cosmos-2523,42986,2017-037E,,Payload,50,Box,0.5,0.5,0.5,,0.433012701892219,0.25,0.375
